protein_id,sequence_length,topology_evidence_vector_kind,protein_regime_signature_kind,regime_detection_used,protein_regime,reference_regime,regime_accuracy_match,regime_confidence,regime_reason,regime_allowed_gate_path,regime_specific_warning,sequence_complexity,hydrophobic_fraction,hydrophobic_run_fraction,low_complexity_pressure,membrane_pressure,repeat_pressure,compact_single_domain_pressure,multidomain_modular_pressure,intrinsically_disordered_pressure,coiled_coil_or_fibrous_pressure,hierarchical_predicted_fold_class,hierarchical_gate_path,hierarchical_confidence,hierarchical_abstained,hierarchical_high_confidence_wrong,regime_router_changed_prediction,predicted_fold_class,structure_fold_class,label_fold_class,prediction_vs_structure_score,prediction_vs_label_score,prediction_structure_class_match,prediction_label_class_match,confidence,uncertainty_radius,claim_strength,forced_prediction,abstained,high_confidence_wrong,gate_path,gate_decision_reason,structure_label_disagreement,ambiguous_reference,possible_bad_row,structure_source_quality,length_bucket,compactness_bucket,disorder_bucket,segmentation_bucket,contact_density_bucket,long_range_contact_bucket,folding_problem_solved,folding_solution_claim_created,manual_review_required,manual_review_reasons,failure_cohort
pdb_1MBN_A_myoglobin,153,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,compact_single_domain,True,0.682968,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.90672,0.424837,0.019608,0.461434,1.0,0.192957,0.530876,0.280365,0.384484,0.442975,alpha_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength,0.5991,False,False,False,alpha_rich,alpha_rich,alpha_rich,0.827781,0.842046,True,True,0.5991,0.336281,medium,True,False,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:accepted_compact_single_domain,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure; compact-single-domain regime accepts secondary-structure gate output",False,False,False,coordinate_contact_graph,medium_140_259,mid,low,mid,mid,mid,False,False,False,,correct_forced
pdb_1CSP_A_cold_shock_protein,67,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,small_peptide_or_fragment,small_peptide_or_fragment,True,0.822222,sequence length is below the broad-fold context needed by the current gates,abstain_until_fragment_context_exists,,0.876794,0.38806,0.044776,0.499175,1.0,0.198003,0.466908,0.159429,0.580255,0.145751,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,0.265436,True,False,False,insufficient_topology_evidence,beta_rich,beta_rich,0.655479,0.895748,False,False,0.265436,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for small_peptide_or_fragment,False,True,False,short_coordinate_fragment,fragment_lt70,mid,mid,low,high,mid,False,False,True,ambiguous_reference,abstained_on_regime_risk
pdb_1SHG_A_src_sh3_domain,62,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,small_peptide_or_fragment,small_peptide_or_fragment,True,0.844444,sequence length is below the broad-fold context needed by the current gates,abstain_until_fragment_context_exists,,0.910063,0.403226,0.096774,0.419124,1.0,0.147999,0.56622,0.255749,0.380648,0.27021,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,0.276987,True,False,False,insufficient_topology_evidence,beta_rich,beta_rich,0.69165,0.903031,False,False,0.276987,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for small_peptide_or_fragment",False,True,False,short_coordinate_fragment,fragment_lt70,high,low,mid,high,mid,False,False,True,ambiguous_reference,abstained_on_regime_risk
pdb_1TIT_A_titin_i27,98,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,compact_single_domain,True,0.681642,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.922575,0.397959,0.040816,0.478604,1.0,0.205629,0.52772,0.268381,0.430733,0.254585,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,0.284744,True,False,False,insufficient_topology_evidence,beta_rich,beta_rich,0.728543,0.893624,False,False,0.284744,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain",False,False,False,coordinate_contact_graph,small_70_139,mid,low,mid,mid,high,False,False,False,,abstained_unresolved
pdb_2PTL_A_protein_l_domain,78,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,compact_single_domain,True,0.667449,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.844858,0.333333,0.064103,0.5279,1.0,0.230098,0.493927,0.186885,0.421428,0.233695,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,0.305931,True,False,False,insufficient_topology_evidence,beta_rich,beta_rich,0.713921,0.890791,False,False,0.305931,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,False,False,False,coordinate_contact_graph,small_70_139,mid,low,low,mid,mid,False,False,False,,abstained_unresolved
pdb_1FNA_A_fibronectin_type_iii,91,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,compact_single_domain,True,0.65792,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.881303,0.384615,0.043956,0.441292,1.0,0.160184,0.471239,0.222997,0.473709,0.123052,beta_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:beta_pairing_supported | confidence_gate:forced_low_claim_strength,0.459511,False,False,False,beta_rich,beta_rich,beta_rich,0.743936,0.879906,True,True,0.459511,0.379832,weak,True,False,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:beta_pairing_supported | confidence_gate:forced_low_claim_strength | regime_router:accepted_compact_single_domain,beta interpretation requires alternation plus local beta pressure and sheet/contact-pairing support; compact-single-domain regime accepts secondary-structure gate output,False,False,False,coordinate_contact_graph,small_70_139,mid,low,low,mid,high,False,False,False,,correct_forced
pdb_1IGD_A_immunoglobulin_domain,61,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,small_peptide_or_fragment,small_peptide_or_fragment,True,0.848889,sequence length is below the broad-fold context needed by the current gates,abstain_until_fragment_context_exists,,0.825895,0.377049,0.04918,0.510882,1.0,0.183059,0.492409,0.355554,0.346252,0.277785,multidomain_boundary,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength,0.59289,False,True,True,insufficient_topology_evidence,alpha_beta_mixed,beta_rich,0.734423,0.90705,False,False,0.0,0.595111,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_small_peptide_or_fragment,sequence length is below the broad-fold context needed by the current gates; regime router abstained before accepting a broad fold-class claim,True,True,True,short_coordinate_fragment,fragment_lt70,mid,low,mid,high,mid,False,False,True,structure_label_disagreement;ambiguous_reference;possible_bad_row,regime_prevented_high_confidence_wrong
pdb_1BFG_A_basic_fgf,146,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,intrinsically_disordered,compact_single_domain,False,0.745028,"local disorder, breaker, and disorder-run evidence dominate compact closure",disorder_gate_or_abstain,,0.945547,0.363014,0.034247,0.446363,1.0,0.175219,0.409783,0.199379,0.612571,0.243329,disordered_flexible,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,0.571186,False,False,True,insufficient_topology_evidence,beta_rich,beta_rich,0.764833,0.851125,False,False,0.0,0.605497,abstained,False,True,False,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_folded_domain_mimic_disorder_conflict,"folded-domain mimic disorder conflict: high disorder pressure is present, but the sequence also has high complexity, aromatic enrichment, compact-core closure, long-range closure, and low true disorder-run evidence",False,False,False,coordinate_contact_graph,medium_140_259,low,mid,low,mid,mid,False,False,False,,abstained_unresolved
pdb_1GFL_A_green_fluorescent_protein,238,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,compact_single_domain,True,0.640874,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.955983,0.37395,0.021008,0.373427,1.0,0.225125,0.430653,0.363468,0.441484,0.294892,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,0.273268,True,False,False,insufficient_topology_evidence,multidomain_boundary,beta_rich,0.847758,0.873455,False,False,0.273268,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,True,True,False,coordinate_contact_graph,medium_140_259,mid,low,mid,mid,high,False,False,True,structure_label_disagreement;ambiguous_reference,abstained_on_structure_label_disagreement
pdb_1KSR_A_kunitz_serine_protease_inhibitor,100,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,ambiguous_regime,compact_single_domain,False,0.746646,compact small-domain beta pressure coexists with high breaker/disorder pressure,abstain_until_regime_conflict_resolved,folded_small_domain_may_mimic_disorder_from_sequence,0.885445,0.34,0.03,0.568325,1.0,0.241192,0.390832,0.133497,0.729298,0.052806,disordered_flexible,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,0.703282,False,True,True,insufficient_topology_evidence,beta_rich,beta_rich,0.643452,0.843141,False,False,0.0,0.605335,abstained,False,True,False,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_ambiguous_regime,compact small-domain beta pressure coexists with high breaker/disorder pressure; regime router abstained before accepting a broad fold-class claim,False,False,False,coordinate_contact_graph,small_70_139,low,mid,low,mid,high,False,False,True,folded_small_domain_may_mimic_disorder_from_sequence,regime_prevented_high_confidence_wrong
pdb_1TIM_A_triosephosphate_isomerase,247,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,multidomain_modular,False,0.643755,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.936758,0.437247,0.024291,0.3621,1.0,0.217015,0.437512,0.348664,0.424937,0.369133,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,0.298581,True,False,False,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,0.871723,0.915484,False,False,0.298581,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,False,False,False,coordinate_contact_graph,medium_140_259,mid,low,mid,mid,high,False,False,False,,abstained_unresolved
