protein_id,sequence_length,axis_signature_kind,protein_regime,predicted_fold_class,structure_fold_class,label_fold_class,confidence,forced_prediction,abstained,single_class_label_structure_disagreement,orthogonal_axis_disagreement,structure_label_same_axis_conflict,structure_label_same_axis_conflict_axes,true_same_axis_conflict,same_axis_conflict_axes,axis_conflict_axes,axis_unscorable_count,high_confidence_wrong_after_axis_scoring,taxonomy_collapse_reason,folding_problem_solved,folding_solution_claim_created,predicted_secondary_structure_axis,structure_secondary_structure_axis,label_secondary_structure_axis,adjudicated_truth_secondary_structure_axis,secondary_structure_axis_scorable,secondary_structure_axis_match,predicted_architecture_axis,structure_architecture_axis,label_architecture_axis,adjudicated_truth_architecture_axis,architecture_axis_scorable,architecture_axis_match,predicted_order_axis,structure_order_axis,label_order_axis,adjudicated_truth_order_axis,order_axis_scorable,order_axis_match,predicted_environment_axis,structure_environment_axis,label_environment_axis,adjudicated_truth_environment_axis,environment_axis_scorable,environment_axis_match,manual_review_required,manual_review_reasons
pdb_1TEN_A_tenascin_fn3,90,orthogonal_fold_axis_projection,compact_single_domain,beta_rich,beta_rich,beta_rich,0.431141,True,False,False,False,False,,False,,,1,False,,False,False,beta_rich,beta_rich,beta_rich,beta_rich,True,True,compact_single_domain,compact_single_domain,unknown,compact_single_domain,True,True,ordered,ordered,ordered,ordered,True,True,soluble_like,unknown,unknown,unknown,False,False,False,
pdb_1CSP_A_cold_shock_protein,67,orthogonal_fold_axis_projection,small_peptide_or_fragment,insufficient_topology_evidence,beta_rich,beta_rich,0.265436,False,True,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,beta_rich,beta_rich,beta_rich,False,False,fragment_scope,fragment_scope,unknown,fragment_scope,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,fragment_evidence_not_global_fold_truth
pdb_1SHG_A_src_sh3_domain,62,orthogonal_fold_axis_projection,small_peptide_or_fragment,insufficient_topology_evidence,beta_rich,beta_rich,0.276987,False,True,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,beta_rich,beta_rich,beta_rich,False,False,fragment_scope,fragment_scope,unknown,fragment_scope,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,fragment_evidence_not_global_fold_truth
pdb_1TIT_A_titin_i27,98,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,beta_rich,beta_rich,0.284744,False,True,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,beta_rich,beta_rich,beta_rich,False,False,compact_single_domain,compact_single_domain,unknown,compact_single_domain,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,False,
pdb_2PTL_A_protein_l_domain,78,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,beta_rich,beta_rich,0.305931,False,True,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,beta_rich,beta_rich,beta_rich,False,False,compact_single_domain,compact_single_domain,unknown,compact_single_domain,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,False,
pdb_1FNA_A_fibronectin_type_iii,91,orthogonal_fold_axis_projection,compact_single_domain,beta_rich,beta_rich,beta_rich,0.459511,True,False,False,False,False,,False,,,1,False,,False,False,beta_rich,beta_rich,beta_rich,beta_rich,True,True,compact_single_domain,compact_single_domain,unknown,compact_single_domain,True,True,ordered,ordered,ordered,ordered,True,True,soluble_like,unknown,unknown,unknown,False,False,False,
pdb_1IGD_A_immunoglobulin_domain,61,orthogonal_fold_axis_projection,small_peptide_or_fragment,insufficient_topology_evidence,alpha_beta_mixed,beta_rich,0.0,False,True,True,False,True,secondary_structure_axis,False,,,3,False,single_class_disagreement_contains_same_axis_conflict,False,False,weak_or_unknown,alpha_beta_mixed,beta_rich,alpha_beta_mixed,False,False,fragment_scope,fragment_scope,unknown,fragment_scope,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,fragment_evidence_not_global_fold_truth
pdb_1BFG_A_basic_fgf,146,orthogonal_fold_axis_projection,intrinsically_disordered,disordered_flexible,beta_rich,beta_rich,0.571186,True,False,False,False,False,,True,order_axis,order_axis,3,False,,False,False,weak_or_unknown,beta_rich,beta_rich,beta_rich,False,False,unknown,compact_single_domain,unknown,compact_single_domain,False,False,disordered_flexible,ordered,ordered,ordered,True,False,soluble_like,unknown,unknown,unknown,False,False,True,true_same_axis_conflict
pdb_1GFL_A_green_fluorescent_protein,238,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,multidomain_boundary,beta_rich,0.273268,False,True,True,True,False,,True,architecture_axis,architecture_axis,3,False,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=secondary_structure_axis,order_axis;structure_axes=architecture_axis,order_axis",False,False,weak_or_unknown,weak_or_unknown,beta_rich,beta_rich,False,False,compact_single_domain,multidomain_or_segmented,unknown,multidomain_or_segmented,True,False,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,single_class_taxonomy_collapse;true_same_axis_conflict
pdb_1KSR_A_kunitz_serine_protease_inhibitor,100,orthogonal_fold_axis_projection,ambiguous_regime,insufficient_topology_evidence,beta_rich,beta_rich,0.0,False,True,False,False,False,,False,,,4,False,,False,False,weak_or_unknown,beta_rich,beta_rich,beta_rich,False,False,unknown,compact_single_domain,unknown,compact_single_domain,False,False,mixed_or_uncertain,ordered,ordered,ordered,False,False,unknown,unknown,unknown,unknown,False,False,True,axis_unscorable
pdb_1TIM_A_triosephosphate_isomerase,247,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,0.298581,False,True,False,False,False,,True,architecture_axis,architecture_axis,3,False,,False,False,weak_or_unknown,alpha_beta_mixed,alpha_beta_mixed,alpha_beta_mixed,False,False,compact_single_domain,multidomain_or_segmented,unknown,multidomain_or_segmented,True,False,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,true_same_axis_conflict
pdb_1PGA_A_protein_g_b1,56,orthogonal_fold_axis_projection,small_peptide_or_fragment,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,0.248675,False,True,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,alpha_beta_mixed,alpha_beta_mixed,alpha_beta_mixed,False,False,fragment_scope,fragment_scope,unknown,fragment_scope,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,fragment_evidence_not_global_fold_truth
pdb_4AKE_A_adenylate_kinase,214,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,0.285531,False,True,False,False,False,,True,architecture_axis,architecture_axis,3,False,,False,False,weak_or_unknown,alpha_beta_mixed,alpha_beta_mixed,alpha_beta_mixed,False,False,compact_single_domain,multidomain_or_segmented,unknown,multidomain_or_segmented,True,False,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,true_same_axis_conflict
pdb_1UBQ_A_ubiquitin,76,orthogonal_fold_axis_projection,intrinsically_disordered,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,0.0,False,True,True,False,True,secondary_structure_axis,False,,,4,False,single_class_disagreement_contains_same_axis_conflict,False,False,weak_or_unknown,beta_rich,alpha_beta_mixed,beta_rich,False,False,unknown,compact_single_domain,unknown,compact_single_domain,False,False,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,axis_unscorable
pdb_2TRX_A_thioredoxin,108,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,0.283008,False,True,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,alpha_beta_mixed,alpha_beta_mixed,alpha_beta_mixed,False,False,compact_single_domain,compact_single_domain,unknown,compact_single_domain,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,False,
pdb_3CHY_A_chey_response_regulator,128,orthogonal_fold_axis_projection,membrane_like,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,0.0,False,True,False,False,False,,False,,,4,False,,False,False,weak_or_unknown,alpha_beta_mixed,alpha_beta_mixed,alpha_beta_mixed,False,False,unknown,compact_single_domain,unknown,compact_single_domain,False,False,mixed_or_uncertain,ordered,ordered,ordered,False,False,membrane_like,unknown,unknown,unknown,False,False,True,axis_unscorable;membrane_regime_not_fold_class
pdb_2CI2_I_chymotrypsin_inhibitor_2,83,orthogonal_fold_axis_projection,intrinsically_disordered,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,0.0,False,True,True,False,True,secondary_structure_axis,False,,,4,False,single_class_disagreement_contains_same_axis_conflict,False,False,weak_or_unknown,beta_rich,alpha_beta_mixed,beta_rich,False,False,unknown,fragment_scope,unknown,fragment_scope,False,False,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,axis_unscorable
pdb_1FKB_A_fk506_binding_protein,107,orthogonal_fold_axis_projection,ambiguous_regime,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,0.0,False,True,True,False,True,secondary_structure_axis,False,,,4,False,single_class_disagreement_contains_same_axis_conflict,False,False,weak_or_unknown,beta_rich,alpha_beta_mixed,beta_rich,False,False,unknown,compact_single_domain,unknown,compact_single_domain,False,False,mixed_or_uncertain,ordered,ordered,ordered,False,False,unknown,unknown,unknown,unknown,False,False,True,axis_unscorable
pdb_2RN2_A_ribonuclease_a,155,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,0.318632,False,True,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,alpha_beta_mixed,alpha_beta_mixed,alpha_beta_mixed,False,False,compact_single_domain,compact_single_domain,unknown,compact_single_domain,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,False,
pdb_1BTA_A_barstar,89,orthogonal_fold_axis_projection,compact_single_domain,alpha_rich,alpha_beta_mixed,alpha_beta_mixed,0.499135,True,False,False,False,False,,True,secondary_structure_axis,secondary_structure_axis,1,False,,False,False,alpha_rich,alpha_beta_mixed,alpha_beta_mixed,alpha_beta_mixed,True,False,compact_single_domain,compact_single_domain,unknown,compact_single_domain,True,True,ordered,ordered,ordered,ordered,True,True,soluble_like,unknown,unknown,unknown,False,False,True,true_same_axis_conflict
pdb_1CLL_A_calmodulin,148,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,multidomain_boundary,multidomain_boundary,0.0,False,True,False,False,False,,True,architecture_axis,architecture_axis,3,False,,False,False,weak_or_unknown,weak_or_unknown,weak_or_unknown,weak_or_unknown,False,False,compact_single_domain,multidomain_or_segmented,multidomain_or_segmented,multidomain_or_segmented,True,False,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,true_same_axis_conflict
pdb_1B57_A_fructose_bisphosphate_aldolase,358,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,alpha_rich,multidomain_boundary,0.301001,False,True,True,True,False,,True,architecture_axis,architecture_axis,3,False,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=architecture_axis,order_axis;structure_axes=secondary_structure_axis,architecture_axis,order_axis",False,False,weak_or_unknown,alpha_rich,weak_or_unknown,alpha_rich,False,False,compact_single_domain,multidomain_or_segmented,multidomain_or_segmented,multidomain_or_segmented,True,False,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,single_class_taxonomy_collapse;true_same_axis_conflict
pdb_1AON_A_groel,547,orthogonal_fold_axis_projection,multidomain_modular,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,0.329401,False,True,True,False,True,architecture_axis,True,architecture_axis,architecture_axis,3,False,single_class_disagreement_contains_same_axis_conflict,False,False,weak_or_unknown,alpha_beta_mixed,weak_or_unknown,alpha_beta_mixed,False,False,multidomain_or_segmented,compact_single_domain,multidomain_or_segmented,compact_single_domain,True,False,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,true_same_axis_conflict
pdb_1IGT_B_igg2a_heavy_chain,444,orthogonal_fold_axis_projection,multidomain_modular,insufficient_topology_evidence,beta_rich,multidomain_boundary,0.274498,False,True,True,True,False,,False,,,3,False,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=architecture_axis,order_axis;structure_axes=secondary_structure_axis,architecture_axis,order_axis",False,False,weak_or_unknown,beta_rich,weak_or_unknown,beta_rich,False,False,multidomain_or_segmented,multidomain_or_segmented,multidomain_or_segmented,multidomain_or_segmented,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,single_class_taxonomy_collapse
pdb_1GTR_A_glutaminyl_trna_synthetase,553,orthogonal_fold_axis_projection,multidomain_modular,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,0.0,False,True,True,True,False,,False,,,3,False,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=architecture_axis,order_axis;structure_axes=secondary_structure_axis,architecture_axis,order_axis",False,False,weak_or_unknown,alpha_beta_mixed,weak_or_unknown,alpha_beta_mixed,False,False,multidomain_or_segmented,multidomain_or_segmented,multidomain_or_segmented,multidomain_or_segmented,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,single_class_taxonomy_collapse
pdb_1E4M_M_myrosinase,501,orthogonal_fold_axis_projection,multidomain_modular,insufficient_topology_evidence,alpha_rich,multidomain_boundary,0.261291,False,True,True,True,False,,False,,,3,False,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=architecture_axis,order_axis;structure_axes=secondary_structure_axis,architecture_axis,order_axis",False,False,weak_or_unknown,alpha_rich,weak_or_unknown,alpha_rich,False,False,multidomain_or_segmented,multidomain_or_segmented,multidomain_or_segmented,multidomain_or_segmented,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,single_class_taxonomy_collapse
pdb_1F88_A_rhodopsin,348,orthogonal_fold_axis_projection,membrane_like,insufficient_topology_evidence,alpha_rich,multidomain_boundary,0.0,False,True,True,True,False,,False,,,3,False,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=architecture_axis,order_axis;structure_axes=secondary_structure_axis,architecture_axis,order_axis",False,False,weak_or_unknown,alpha_rich,weak_or_unknown,alpha_rich,False,False,unknown,multidomain_or_segmented,multidomain_or_segmented,multidomain_or_segmented,False,False,mixed_or_uncertain,ordered,ordered,ordered,False,False,membrane_like,unknown,unknown,membrane_like,True,True,True,single_class_taxonomy_collapse;membrane_regime_not_fold_class
pdb_1GSA_A_glutathione_synthetase,316,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,0.294517,False,True,True,True,False,,True,architecture_axis,architecture_axis,3,False,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=architecture_axis,order_axis;structure_axes=secondary_structure_axis,architecture_axis,order_axis",False,False,weak_or_unknown,alpha_beta_mixed,weak_or_unknown,alpha_beta_mixed,False,False,compact_single_domain,multidomain_or_segmented,multidomain_or_segmented,multidomain_or_segmented,True,False,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,single_class_taxonomy_collapse;true_same_axis_conflict
pdb_1TUP_A_p53_core_dna_complex,219,orthogonal_fold_axis_projection,intrinsically_disordered,insufficient_topology_evidence,beta_rich,multidomain_boundary,0.0,False,True,True,False,True,architecture_axis,False,,,4,False,single_class_disagreement_contains_same_axis_conflict,False,False,weak_or_unknown,beta_rich,weak_or_unknown,beta_rich,False,False,unknown,compact_single_domain,multidomain_or_segmented,compact_single_domain,False,False,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,axis_unscorable
pdb_1LFG_A_lactoferrin,691,orthogonal_fold_axis_projection,multidomain_modular,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,0.300232,False,True,True,True,False,,False,,,3,False,"single_class_disagreement_is_orthogonal_axis_projection:label_axes=architecture_axis,order_axis;structure_axes=secondary_structure_axis,architecture_axis,order_axis",False,False,weak_or_unknown,alpha_beta_mixed,weak_or_unknown,alpha_beta_mixed,False,False,multidomain_or_segmented,multidomain_or_segmented,multidomain_or_segmented,multidomain_or_segmented,True,True,mixed_or_uncertain,ordered,ordered,ordered,False,False,soluble_like,unknown,unknown,unknown,False,False,True,single_class_taxonomy_collapse
disprot_P37840_alpha_synuclein,140,orthogonal_fold_axis_projection,intrinsically_disordered,disordered_flexible,disordered_flexible,disordered_flexible,0.520625,True,False,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,weak_or_unknown,weak_or_unknown,weak_or_unknown,False,False,unknown,unknown,unknown,unknown,False,False,disordered_flexible,disordered_flexible,disordered_flexible,disordered_flexible,True,True,soluble_like,unknown,unknown,unknown,False,False,False,
disprot_P10636_tau,758,orthogonal_fold_axis_projection,intrinsically_disordered,disordered_flexible,disordered_flexible,disordered_flexible,0.763253,True,False,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,weak_or_unknown,weak_or_unknown,weak_or_unknown,False,False,unknown,unknown,unknown,unknown,False,False,disordered_flexible,disordered_flexible,disordered_flexible,disordered_flexible,True,True,soluble_like,unknown,unknown,unknown,False,False,False,
disprot_P04637_p53_full_length,393,orthogonal_fold_axis_projection,intrinsically_disordered,disordered_flexible,disordered_flexible,disordered_flexible,0.596958,True,False,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,weak_or_unknown,weak_or_unknown,weak_or_unknown,False,False,unknown,unknown,unknown,unknown,False,False,disordered_flexible,disordered_flexible,disordered_flexible,disordered_flexible,True,True,soluble_like,unknown,unknown,unknown,False,False,False,
disprot_P46527_cdkn1b_p27,198,orthogonal_fold_axis_projection,intrinsically_disordered,disordered_flexible,disordered_flexible,disordered_flexible,0.630069,True,False,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,weak_or_unknown,weak_or_unknown,weak_or_unknown,False,False,unknown,unknown,unknown,unknown,False,False,disordered_flexible,disordered_flexible,disordered_flexible,disordered_flexible,True,True,soluble_like,unknown,unknown,unknown,False,False,False,
disprot_P38634_sic1,284,orthogonal_fold_axis_projection,intrinsically_disordered,disordered_flexible,disordered_flexible,disordered_flexible,0.582977,True,False,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,weak_or_unknown,weak_or_unknown,weak_or_unknown,False,False,unknown,unknown,unknown,unknown,False,False,disordered_flexible,disordered_flexible,disordered_flexible,disordered_flexible,True,True,soluble_like,unknown,unknown,unknown,False,False,False,
disprot_O60356_nupr1,82,orthogonal_fold_axis_projection,intrinsically_disordered,disordered_flexible,disordered_flexible,disordered_flexible,0.871089,True,False,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,weak_or_unknown,weak_or_unknown,weak_or_unknown,False,False,unknown,unknown,unknown,unknown,False,False,disordered_flexible,disordered_flexible,disordered_flexible,disordered_flexible,True,True,soluble_like,unknown,unknown,unknown,False,False,False,
disprot_P10451_osteopontin,314,orthogonal_fold_axis_projection,intrinsically_disordered,insufficient_topology_evidence,disordered_flexible,disordered_flexible,0.292706,False,True,False,False,False,,False,,,4,False,,False,False,weak_or_unknown,weak_or_unknown,weak_or_unknown,weak_or_unknown,False,False,unknown,unknown,unknown,unknown,False,False,mixed_or_uncertain,disordered_flexible,disordered_flexible,disordered_flexible,False,False,soluble_like,unknown,unknown,unknown,False,False,True,axis_unscorable
disprot_Q13541_eif4ebp1,118,orthogonal_fold_axis_projection,intrinsically_disordered,disordered_flexible,disordered_flexible,disordered_flexible,0.826896,True,False,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,weak_or_unknown,weak_or_unknown,weak_or_unknown,False,False,unknown,unknown,unknown,unknown,False,False,disordered_flexible,disordered_flexible,disordered_flexible,disordered_flexible,True,True,soluble_like,unknown,unknown,unknown,False,False,False,
disprot_P16949_stathmin,149,orthogonal_fold_axis_projection,intrinsically_disordered,insufficient_topology_evidence,disordered_flexible,disordered_flexible,0.0,False,True,False,False,False,,False,,,4,False,,False,False,weak_or_unknown,weak_or_unknown,weak_or_unknown,weak_or_unknown,False,False,unknown,unknown,unknown,unknown,False,False,mixed_or_uncertain,disordered_flexible,disordered_flexible,disordered_flexible,False,False,soluble_like,unknown,unknown,unknown,False,False,True,axis_unscorable
disprot_P17096_hmga1,107,orthogonal_fold_axis_projection,intrinsically_disordered,disordered_flexible,disordered_flexible,disordered_flexible,1.0,True,False,False,False,False,,False,,,3,False,,False,False,weak_or_unknown,weak_or_unknown,weak_or_unknown,weak_or_unknown,False,False,unknown,unknown,unknown,unknown,False,False,disordered_flexible,disordered_flexible,disordered_flexible,disordered_flexible,True,True,soluble_like,unknown,unknown,unknown,False,False,False,
