row_id,external_family_id,external_family_group,length,truth_scope,protein_regime,source_predicted_fold_class,architecture_axis_abstention_reason,truth_secondary_structure_axis,truth_architecture_axis,truth_order_axis,truth_environment_axis,failure_cohort
holdout_041_alpha_beta_mixed_01,holdout_mixed_family_01,alpha_beta_mixed,104,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_042_alpha_beta_mixed_01,holdout_mixed_family_01,alpha_beta_mixed,124,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_043_alpha_beta_mixed_01,holdout_mixed_family_01,alpha_beta_mixed,146,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_044_alpha_beta_mixed_01,holdout_mixed_family_01,alpha_beta_mixed,168,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_045_alpha_beta_mixed_01,holdout_mixed_family_01,alpha_beta_mixed,188,global_chain,intrinsically_disordered,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,alpha_beta_boundary_ambiguity
holdout_046_alpha_beta_mixed_02,holdout_mixed_family_02,alpha_beta_mixed,107,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_047_alpha_beta_mixed_02,holdout_mixed_family_02,alpha_beta_mixed,127,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_048_alpha_beta_mixed_02,holdout_mixed_family_02,alpha_beta_mixed,149,global_chain,intrinsically_disordered,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,alpha_beta_boundary_ambiguity
holdout_049_alpha_beta_mixed_02,holdout_mixed_family_02,alpha_beta_mixed,171,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_050_alpha_beta_mixed_02,holdout_mixed_family_02,alpha_beta_mixed,191,global_chain,intrinsically_disordered,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,alpha_beta_boundary_ambiguity
holdout_051_alpha_beta_mixed_03,holdout_mixed_family_03,alpha_beta_mixed,110,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_052_alpha_beta_mixed_03,holdout_mixed_family_03,alpha_beta_mixed,130,global_chain,ambiguous_regime,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,alpha_beta_boundary_ambiguity
holdout_053_alpha_beta_mixed_03,holdout_mixed_family_03,alpha_beta_mixed,152,global_chain,intrinsically_disordered,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,alpha_beta_boundary_ambiguity
holdout_054_alpha_beta_mixed_03,holdout_mixed_family_03,alpha_beta_mixed,174,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_055_alpha_beta_mixed_03,holdout_mixed_family_03,alpha_beta_mixed,194,global_chain,repeat_like,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,alpha_beta_boundary_ambiguity
holdout_056_alpha_beta_mixed_04,holdout_mixed_family_04,alpha_beta_mixed,113,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_057_alpha_beta_mixed_04,holdout_mixed_family_04,alpha_beta_mixed,133,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_058_alpha_beta_mixed_04,holdout_mixed_family_04,alpha_beta_mixed,155,global_chain,intrinsically_disordered,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,alpha_beta_boundary_ambiguity
holdout_059_alpha_beta_mixed_04,holdout_mixed_family_04,alpha_beta_mixed,177,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_060_alpha_beta_mixed_04,holdout_mixed_family_04,alpha_beta_mixed,197,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,alpha_beta_mixed,compact_single_domain,ordered,soluble_like,order_axis_conflict
holdout_061_membrane_like_01,holdout_membrane_family_01,membrane_like,132,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
holdout_062_membrane_like_01,holdout_membrane_family_01,membrane_like,154,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
holdout_063_membrane_like_01,holdout_membrane_family_01,membrane_like,176,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
holdout_064_membrane_like_01,holdout_membrane_family_01,membrane_like,198,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
holdout_065_membrane_like_01,holdout_membrane_family_01,membrane_like,224,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
holdout_066_membrane_like_02,holdout_membrane_family_02,membrane_like,132,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
holdout_067_membrane_like_02,holdout_membrane_family_02,membrane_like,154,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
holdout_068_membrane_like_02,holdout_membrane_family_02,membrane_like,176,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
holdout_069_membrane_like_02,holdout_membrane_family_02,membrane_like,198,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
holdout_070_membrane_like_02,holdout_membrane_family_02,membrane_like,224,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
holdout_071_membrane_like_03,holdout_membrane_family_03,membrane_like,132,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
holdout_072_membrane_like_03,holdout_membrane_family_03,membrane_like,154,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
holdout_073_membrane_like_03,holdout_membrane_family_03,membrane_like,176,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
holdout_074_membrane_like_03,holdout_membrane_family_03,membrane_like,198,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
holdout_075_membrane_like_03,holdout_membrane_family_03,membrane_like,224,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
holdout_076_disordered_or_mixed_order_01,holdout_disorder_family_01,disordered_or_mixed_order,90,uncertain,intrinsically_disordered,disordered_flexible,disorder-like segmentation pressure is too high,weak_or_unknown,unknown,disordered_flexible,unknown,safe_axis_claimed
holdout_077_disordered_or_mixed_order_01,holdout_disorder_family_01,disordered_or_mixed_order,118,uncertain,intrinsically_disordered,disordered_flexible,disorder-like segmentation pressure is too high,weak_or_unknown,unknown,disordered_flexible,unknown,safe_axis_claimed
holdout_078_disordered_or_mixed_order_01,holdout_disorder_family_01,disordered_or_mixed_order,156,uncertain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,weak_or_unknown,unknown,disordered_flexible,unknown,safe_axis_claimed
holdout_079_disordered_or_mixed_order_01,holdout_disorder_family_01,disordered_or_mixed_order,212,uncertain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,weak_or_unknown,unknown,disordered_flexible,unknown,safe_axis_claimed
holdout_080_disordered_or_mixed_order_01,holdout_disorder_family_01,disordered_or_mixed_order,278,uncertain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,weak_or_unknown,unknown,disordered_flexible,unknown,safe_axis_claimed
holdout_081_disordered_or_mixed_order_02,holdout_disorder_family_02,disordered_or_mixed_order,95,uncertain,intrinsically_disordered,disordered_flexible,disorder-like segmentation pressure is too high,weak_or_unknown,unknown,disordered_flexible,unknown,safe_axis_claimed
holdout_082_disordered_or_mixed_order_02,holdout_disorder_family_02,disordered_or_mixed_order,123,uncertain,intrinsically_disordered,disordered_flexible,disorder-like segmentation pressure is too high,weak_or_unknown,unknown,disordered_flexible,unknown,safe_axis_claimed
holdout_083_disordered_or_mixed_order_02,holdout_disorder_family_02,disordered_or_mixed_order,161,uncertain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,weak_or_unknown,unknown,disordered_flexible,unknown,safe_axis_claimed
holdout_084_disordered_or_mixed_order_02,holdout_disorder_family_02,disordered_or_mixed_order,217,uncertain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,weak_or_unknown,unknown,disordered_flexible,unknown,safe_axis_claimed
holdout_085_disordered_or_mixed_order_02,holdout_disorder_family_02,disordered_or_mixed_order,283,uncertain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,weak_or_unknown,unknown,disordered_flexible,unknown,safe_axis_claimed
holdout_086_disordered_or_mixed_order_03,holdout_disorder_family_03,disordered_or_mixed_order,100,uncertain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,weak_or_unknown,unknown,disordered_flexible,unknown,safe_axis_claimed
holdout_087_disordered_or_mixed_order_03,holdout_disorder_family_03,disordered_or_mixed_order,128,uncertain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,weak_or_unknown,unknown,disordered_flexible,unknown,safe_axis_claimed
holdout_088_disordered_or_mixed_order_03,holdout_disorder_family_03,disordered_or_mixed_order,166,uncertain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,weak_or_unknown,unknown,disordered_flexible,unknown,safe_axis_claimed
holdout_089_disordered_or_mixed_order_03,holdout_disorder_family_03,disordered_or_mixed_order,222,uncertain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,weak_or_unknown,unknown,disordered_flexible,unknown,safe_axis_claimed
holdout_090_disordered_or_mixed_order_03,holdout_disorder_family_03,disordered_or_mixed_order,288,uncertain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,weak_or_unknown,unknown,disordered_flexible,unknown,safe_axis_claimed
holdout_091_architecture_stress_like,holdout_architecture_large_oligomer_like,architecture_stress,520,global_chain,intrinsically_disordered,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_beta_mixed,unknown,ordered,soluble_like,alpha_beta_boundary_ambiguity
holdout_092_architecture_stress_like,holdout_architecture_large_oligomer_like,architecture_stress,529,global_chain,multidomain_modular,insufficient_topology_evidence,repeat/segmentation signals are mixed,alpha_beta_mixed,unknown,ordered,soluble_like,alpha_beta_boundary_ambiguity
holdout_093_architecture_stress_like,holdout_architecture_repeat_like,architecture_stress,240,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,alpha_beta_mixed,repeat_like,ordered,soluble_like,order_axis_conflict
holdout_094_architecture_stress_like,holdout_architecture_repeat_like,architecture_stress,249,global_chain,intrinsically_disordered,disordered_flexible,repeat/segmentation signals are mixed,alpha_beta_mixed,repeat_like,ordered,soluble_like,order_axis_conflict
holdout_096_architecture_stress_fragment,holdout_architecture_domain_fragment,architecture_stress,71,domain_fragment,intrinsically_disordered,insufficient_topology_evidence,short sequence did not clear fragment-scope confidence,beta_rich,fragment_scope,ordered,soluble_like,fragment_scope_over_abstention
holdout_097_architecture_stress_helices,holdout_architecture_membrane_many_helices,architecture_stress,260,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
holdout_098_architecture_stress_helices,holdout_architecture_membrane_many_helices,architecture_stress,269,global_chain,membrane_like,insufficient_topology_evidence,membrane segmentation can reflect helices rather than global domains,alpha_rich,unknown,ordered,membrane_like,safe_axis_claimed
