protein_id,protein_regime,source_predicted_fold_class,profile_global_fold_class,profile_secondary_structure_axis,profile_architecture_axis,profile_order_axis,profile_environment_axis,safe_axis_recovered_axes,safe_axis_recovered_count,axis_profile_same_axis_conflict,axis_profile_conflict_axes,gate_path
pdb_1R69_A_lambda_repressor_ntd,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,fragment_scope,mixed_or_uncertain,unknown,architecture_axis,1,False,,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained | regime_router:kept_hierarchy_abstention
pdb_1BFG_A_basic_fgf,intrinsically_disordered,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_folded_domain_mimic_disorder_conflict
pdb_1GFL_A_green_fluorescent_protein,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_1KSR_A_kunitz_serine_protease_inhibitor,ambiguous_regime,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,mixed_or_uncertain,unknown,,0,False,,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_ambiguous_regime
pdb_1TIM_A_triosephosphate_isomerase,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_1PGA_A_protein_g_b1,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,fragment_scope,ordered,unknown,architecture_axis;order_axis,2,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_4AKE_A_adenylate_kinase,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_1UBQ_A_ubiquitin,intrinsically_disordered,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,mixed_or_uncertain,unknown,,0,False,,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained | regime_router:kept_hierarchy_abstention
pdb_2TRX_A_thioredoxin,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_3CHY_A_chey_response_regulator,membrane_like,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,membrane_like,order_axis;environment_axis,2,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:abstained_alpha_mixed_ambiguity | confidence_gate:abstained | regime_router:kept_hierarchy_abstention
pdb_2CI2_I_chymotrypsin_inhibitor_2,intrinsically_disordered,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,mixed_or_uncertain,unknown,,0,False,,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained | regime_router:kept_hierarchy_abstention
pdb_1FKB_A_fk506_binding_protein,ambiguous_regime,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,mixed_or_uncertain,unknown,,0,False,,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_ambiguous_regime
pdb_2RN2_A_ribonuclease_a,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_1BTA_A_barstar,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:abstained_alpha_mixed_ambiguity | confidence_gate:abstained | regime_router:kept_hierarchy_abstention
pdb_1CLL_A_calmodulin,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_compact_domain_conflict
pdb_1B57_A_fructose_bisphosphate_aldolase,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_1AON_A_groel,multidomain_modular,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_1IGT_B_igg2a_heavy_chain,multidomain_modular,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_1GTR_A_glutaminyl_trna_synthetase,multidomain_modular,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_long_modular_ambiguity
pdb_1E4M_M_myrosinase,multidomain_modular,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_1F88_A_rhodopsin,membrane_like,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,membrane_like,order_axis;environment_axis,2,False,,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_membrane_like
pdb_1GSA_A_glutathione_synthetase,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
pdb_1TUP_A_p53_core_dna_complex,intrinsically_disordered,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,mixed_or_uncertain,unknown,,0,False,,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained | regime_router:kept_hierarchy_abstention
pdb_1LFG_A_lactoferrin,multidomain_modular,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,ordered,unknown,order_axis,1,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
disprot_P10451_osteopontin,intrinsically_disordered,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,mixed_or_uncertain,unknown,,0,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention
disprot_P16949_stathmin,intrinsically_disordered,insufficient_topology_evidence,insufficient_topology_evidence,weak_or_unknown,unknown,mixed_or_uncertain,unknown,,0,False,,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:forced_low_claim_strength | regime_router:abstained_disorder_fold_conflict
