failure_cohort,protein_regime,predicted_fold_class,structure_fold_class,label_fold_class,length_bucket,compactness_bucket,disorder_bucket,segmentation_bucket,contact_density_bucket,long_range_contact_bucket,structure_source_quality,count,forced_prediction_count,abstained_prediction_count,correct_count,high_confidence_wrong_count,structure_label_disagreement_count,possible_bad_rows_count,manual_review_count,example_proteins,accuracy
abstained_on_structure_label_disagreement,intrinsically_disordered,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,small_70_139,low,mid,low,high,mid,short_coordinate_fragment,1,0,1,0,0,1,0,1,pdb_2CI2_I_chymotrypsin_inhibitor_2,0.0
abstained_on_structure_label_disagreement,intrinsically_disordered,insufficient_topology_evidence,beta_rich,multidomain_boundary,medium_140_259,low,mid,mid,mid,high,coordinate_contact_graph,1,0,1,0,0,1,0,1,pdb_1TUP_A_p53_core_dna_complex,0.0
abstained_on_structure_label_disagreement,multidomain_modular,insufficient_topology_evidence,beta_rich,multidomain_boundary,very_large_420_plus,mid,low,mid,low,high,sparse_long_range_contact_graph,1,0,1,0,0,1,1,1,pdb_1IGT_B_igg2a_heavy_chain,0.0
abstained_on_structure_label_disagreement,multidomain_modular,insufficient_topology_evidence,alpha_rich,multidomain_boundary,very_large_420_plus,mid,low,mid,low,high,sparse_long_range_contact_graph,1,0,1,0,0,1,1,1,pdb_1E4M_M_myrosinase,0.0
abstained_unresolved,compact_single_domain,insufficient_topology_evidence,alpha_rich,alpha_rich,small_70_139,high,low,mid,mid,mid,coordinate_contact_graph,1,0,1,0,0,0,0,0,pdb_2MHR_A_myohemerythrin,0.0
abstained_unresolved,compact_single_domain,insufficient_topology_evidence,beta_rich,beta_rich,small_70_139,mid,low,mid,mid,high,coordinate_contact_graph,1,0,1,0,0,0,0,0,pdb_1TIT_A_titin_i27,0.0
abstained_unresolved,compact_single_domain,insufficient_topology_evidence,beta_rich,beta_rich,small_70_139,mid,low,low,mid,mid,coordinate_contact_graph,1,0,1,0,0,0,0,0,pdb_2PTL_A_protein_l_domain,0.0
abstained_unresolved,compact_single_domain,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,medium_140_259,mid,low,mid,mid,mid,coordinate_contact_graph,1,0,1,0,0,0,0,0,pdb_4AKE_A_adenylate_kinase,0.0
abstained_unresolved,compact_single_domain,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,small_70_139,mid,low,low,mid,high,coordinate_contact_graph,1,0,1,0,0,0,0,0,pdb_2TRX_A_thioredoxin,0.0
abstained_unresolved,compact_single_domain,insufficient_topology_evidence,multidomain_boundary,multidomain_boundary,medium_140_259,mid,low,mid,mid,low,coordinate_contact_graph,1,0,1,0,0,0,0,0,pdb_1CLL_A_calmodulin,0.0
abstained_unresolved,intrinsically_disordered,insufficient_topology_evidence,disordered_flexible,disordered_flexible,large_260_419,mid,low,mid,low,low,curated_disorder_reference,1,0,1,0,0,0,0,0,disprot_P10451_osteopontin,0.0
abstained_unresolved,intrinsically_disordered,insufficient_topology_evidence,disordered_flexible,disordered_flexible,medium_140_259,mid,low,mid,low,low,curated_disorder_reference,1,0,1,0,0,0,0,0,disprot_P16949_stathmin,0.0
correct_forced,compact_single_domain,alpha_rich,alpha_rich,alpha_rich,small_70_139,high,low,mid,mid,mid,coordinate_contact_graph,1,1,0,1,0,0,0,0,pdb_256B_A_cytochrome_b562,1.0
correct_forced,intrinsically_disordered,disordered_flexible,disordered_flexible,disordered_flexible,very_large_420_plus,low,high,low,low,low,curated_disorder_reference,1,1,0,1,0,0,0,0,disprot_P10636_tau,1.0
correct_forced,intrinsically_disordered,disordered_flexible,disordered_flexible,disordered_flexible,large_260_419,low,mid,low,low,low,curated_disorder_reference,1,1,0,1,0,0,0,0,disprot_P04637_p53_full_length,1.0
correct_forced,intrinsically_disordered,disordered_flexible,disordered_flexible,disordered_flexible,large_260_419,low,mid,mid,low,low,curated_disorder_reference,1,1,0,1,0,0,0,0,disprot_P38634_sic1,1.0
regime_prevented_high_confidence_wrong,ambiguous_regime,insufficient_topology_evidence,beta_rich,beta_rich,small_70_139,low,mid,low,mid,high,coordinate_contact_graph,1,0,1,0,0,0,0,1,pdb_1KSR_A_kunitz_serine_protease_inhibitor,0.0
regime_prevented_high_confidence_wrong,ambiguous_regime,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,small_70_139,low,mid,low,mid,high,coordinate_contact_graph,1,0,1,0,0,1,0,1,pdb_1FKB_A_fk506_binding_protein,0.0
regime_prevented_high_confidence_wrong,membrane_like,insufficient_topology_evidence,alpha_rich,multidomain_boundary,large_260_419,high,low,high,low,mid,coordinate_contact_graph,1,0,1,0,0,1,1,1,pdb_1F88_A_rhodopsin,0.0
regime_prevented_high_confidence_wrong,multidomain_modular,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,very_large_420_plus,mid,low,mid,low,high,sparse_long_range_contact_graph,1,0,1,0,0,1,1,1,pdb_1GTR_A_glutaminyl_trna_synthetase,0.0
regime_prevented_high_confidence_wrong,small_peptide_or_fragment,insufficient_topology_evidence,multidomain_boundary,alpha_rich,fragment_lt70,high,low,mid,high,low,short_coordinate_fragment,1,0,1,0,0,1,1,1,pdb_1ROP_A_rop_protein,0.0
regime_prevented_high_confidence_wrong,small_peptide_or_fragment,insufficient_topology_evidence,alpha_beta_mixed,beta_rich,fragment_lt70,mid,low,mid,high,mid,short_coordinate_fragment,1,0,1,0,0,1,1,1,pdb_1IGD_A_immunoglobulin_domain,0.0
wrong_forced_low_confidence,compact_single_domain,alpha_rich,alpha_beta_mixed,alpha_beta_mixed,small_70_139,mid,low,mid,mid,mid,coordinate_contact_graph,1,1,0,0,0,0,0,0,pdb_1BTA_A_barstar,0.0
wrong_forced_low_confidence,intrinsically_disordered,disordered_flexible,beta_rich,beta_rich,medium_140_259,low,mid,low,mid,mid,coordinate_contact_graph,1,1,0,0,0,0,0,0,pdb_1BFG_A_basic_fgf,0.0
