protein_id,sequence_length,axis_profile_signature_kind,source_axis_signature_kind,protein_regime,source_predicted_fold_class,profile_global_fold_class,source_forced_prediction,source_abstained,confidence,gate_path,gate_decision_reason,global_class_claim_allowed,collapsed_class_recovered,unsafe_class_recovery,profile_secondary_structure_axis,profile_secondary_structure_claim_allowed,profile_secondary_structure_claim_reason,adjudicated_truth_secondary_structure_axis,secondary_structure_axis_scorable,secondary_structure_axis_match,profile_architecture_axis,profile_architecture_claim_allowed,profile_architecture_claim_reason,adjudicated_truth_architecture_axis,architecture_axis_scorable,architecture_axis_match,profile_order_axis,profile_order_claim_allowed,profile_order_claim_reason,adjudicated_truth_order_axis,order_axis_scorable,order_axis_match,profile_environment_axis,profile_environment_claim_allowed,profile_environment_claim_reason,adjudicated_truth_environment_axis,environment_axis_scorable,environment_axis_match,axis_profile_claim_count,axis_profile_has_claim,axis_profile_same_axis_conflict,axis_profile_conflict_axes,axis_profile_scorable_count,axis_profile_match_count,safe_axis_recovered_axes,safe_axis_recovered_count,guard_override,folding_problem_solved,folding_solution_claim_created,drug_design_created,molecule_generated,protein_sequence_design_created
pdb_1MBN_A_myoglobin,153,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,alpha_rich,insufficient_topology_evidence,True,False,0.5991,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:accepted_compact_single_domain,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure; compact-single-domain regime accepts secondary-structure gate output",False,False,False,alpha_rich,True,source_forced_class_projected_to_secondary_axis,alpha_rich,True,True,unknown,False,,compact_single_domain,False,False,ordered,True,source_forced_folded_class_projected_to_order_axis,ordered,True,True,unknown,False,,unknown,False,False,2,True,False,,2,2,,0,False,False,False,False,False,False
pdb_1CSP_A_cold_shock_protein,67,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.265436,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for small_peptide_or_fragment,False,False,False,weak_or_unknown,False,,beta_rich,False,False,fragment_scope,True,recovered_fragment_scope_from_regime,fragment_scope,True,True,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,2,True,False,,2,2,architecture_axis;order_axis,2,False,False,False,False,False,False
pdb_1SHG_A_src_sh3_domain,62,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.276987,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for small_peptide_or_fragment",False,False,False,weak_or_unknown,False,,beta_rich,False,False,fragment_scope,True,recovered_fragment_scope_from_regime,fragment_scope,True,True,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,2,True,False,,2,2,architecture_axis;order_axis,2,False,False,False,False,False,False
pdb_1TIT_A_titin_i27,98,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.284744,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain",False,False,False,weak_or_unknown,False,,beta_rich,False,False,unknown,False,,compact_single_domain,False,False,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,1,True,False,,1,1,order_axis,1,False,False,False,False,False,False
pdb_2PTL_A_protein_l_domain,78,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.305931,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,False,False,False,weak_or_unknown,False,,beta_rich,False,False,unknown,False,,compact_single_domain,False,False,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,1,True,False,,1,1,order_axis,1,False,False,False,False,False,False
pdb_1FNA_A_fibronectin_type_iii,91,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,beta_rich,insufficient_topology_evidence,True,False,0.459511,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:beta_pairing_supported | confidence_gate:forced_low_claim_strength | regime_router:accepted_compact_single_domain,beta interpretation requires alternation plus local beta pressure and sheet/contact-pairing support; compact-single-domain regime accepts secondary-structure gate output,False,False,False,beta_rich,True,source_forced_class_projected_to_secondary_axis,beta_rich,True,True,unknown,False,,compact_single_domain,False,False,ordered,True,source_forced_folded_class_projected_to_order_axis,ordered,True,True,unknown,False,,unknown,False,False,2,True,False,,2,2,,0,False,False,False,False,False,False
pdb_1IGD_A_immunoglobulin_domain,61,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.0,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_small_peptide_or_fragment,sequence length is below the broad-fold context needed by the current gates; regime router abstained before accepting a broad fold-class claim,False,False,False,weak_or_unknown,False,,alpha_beta_mixed,False,False,fragment_scope,True,recovered_fragment_scope_from_regime,fragment_scope,True,True,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,2,True,False,,2,2,architecture_axis;order_axis,2,False,False,False,False,False,False
pdb_1BFG_A_basic_fgf,146,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,intrinsically_disordered,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.0,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_folded_domain_mimic_disorder_conflict,"folded-domain mimic disorder conflict: high disorder pressure is present, but the sequence also has high complexity, aromatic enrichment, compact-core closure, long-range closure, and low true disorder-run evidence",False,False,False,weak_or_unknown,False,,beta_rich,False,False,unknown,False,,compact_single_domain,False,False,ordered,True,recovered_from_folded_domain_mimic_guard,ordered,True,True,unknown,False,,unknown,False,False,1,True,False,,1,1,order_axis,1,False,False,False,False,False,False
pdb_1GFL_A_green_fluorescent_protein,238,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.273268,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,False,False,False,weak_or_unknown,False,,beta_rich,False,False,unknown,False,,multidomain_or_segmented,False,False,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,1,True,False,,1,1,order_axis,1,False,False,False,False,False,False
pdb_1KSR_A_kunitz_serine_protease_inhibitor,100,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,ambiguous_regime,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.0,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_ambiguous_regime,compact small-domain beta pressure coexists with high breaker/disorder pressure; regime router abstained before accepting a broad fold-class claim,False,False,False,weak_or_unknown,False,,beta_rich,False,False,unknown,False,,compact_single_domain,False,False,mixed_or_uncertain,False,,ordered,False,False,unknown,False,,unknown,False,False,0,False,False,,0,0,,0,False,False,False,False,False,False
pdb_1TIM_A_triosephosphate_isomerase,247,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.298581,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,False,False,False,weak_or_unknown,False,,alpha_beta_mixed,False,False,unknown,False,,multidomain_or_segmented,False,False,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,1,True,False,,1,1,order_axis,1,False,False,False,False,False,False
pdb_1PGA_A_protein_g_b1,56,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.248675,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for small_peptide_or_fragment",False,False,False,weak_or_unknown,False,,alpha_beta_mixed,False,False,fragment_scope,True,recovered_fragment_scope_from_regime,fragment_scope,True,True,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,2,True,False,,2,2,architecture_axis;order_axis,2,False,False,False,False,False,False
pdb_4AKE_A_adenylate_kinase,214,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.285531,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,False,False,False,weak_or_unknown,False,,alpha_beta_mixed,False,False,unknown,False,,multidomain_or_segmented,False,False,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,1,True,False,,1,1,order_axis,1,False,False,False,False,False,False
pdb_1UBQ_A_ubiquitin,76,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,intrinsically_disordered,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.0,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained | regime_router:kept_hierarchy_abstention,compactness and closure are too weak to force a fold class; regime router kept abstention for intrinsically_disordered,False,False,False,weak_or_unknown,False,,beta_rich,False,False,unknown,False,,compact_single_domain,False,False,mixed_or_uncertain,False,,ordered,False,False,unknown,False,,unknown,False,False,0,False,False,,0,0,,0,False,False,False,False,False,False
pdb_2TRX_A_thioredoxin,108,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.283008,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain",False,False,False,weak_or_unknown,False,,alpha_beta_mixed,False,False,unknown,False,,compact_single_domain,False,False,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,1,True,False,,1,1,order_axis,1,False,False,False,False,False,False
pdb_3CHY_A_chey_response_regulator,128,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,membrane_like,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.0,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:abstained_alpha_mixed_ambiguity | confidence_gate:abstained | regime_router:kept_hierarchy_abstention,"alpha-rich evidence was not forced because beta pressure, pairing support, and mixed secondary-structure score remain too close to the alpha score; regime router kept abstention for membrane_like",False,False,False,weak_or_unknown,False,,alpha_beta_mixed,False,False,unknown,False,,compact_single_domain,False,False,ordered,True,recovered_from_alpha_mixed_ambiguity_guard,ordered,True,True,membrane_like,True,recovered_membrane_axis_from_regime,unknown,False,False,2,True,False,,1,1,order_axis;environment_axis,2,False,False,False,False,False,False
pdb_2CI2_I_chymotrypsin_inhibitor_2,83,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,intrinsically_disordered,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.0,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained | regime_router:kept_hierarchy_abstention,compactness and closure are too weak to force a fold class; regime router kept abstention for intrinsically_disordered,False,False,False,weak_or_unknown,False,,beta_rich,False,False,unknown,False,,fragment_scope,False,False,mixed_or_uncertain,False,,ordered,False,False,unknown,False,,unknown,False,False,0,False,False,,0,0,,0,False,False,False,False,False,False
pdb_1FKB_A_fk506_binding_protein,107,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,ambiguous_regime,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.0,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_ambiguous_regime,compact small-domain beta pressure coexists with high breaker/disorder pressure; regime router abstained before accepting a broad fold-class claim,False,False,False,weak_or_unknown,False,,beta_rich,False,False,unknown,False,,compact_single_domain,False,False,mixed_or_uncertain,False,,ordered,False,False,unknown,False,,unknown,False,False,0,False,False,,0,0,,0,False,False,False,False,False,False
pdb_2RN2_A_ribonuclease_a,155,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.318632,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,False,False,False,weak_or_unknown,False,,alpha_beta_mixed,False,False,unknown,False,,compact_single_domain,False,False,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,1,True,False,,1,1,order_axis,1,False,False,False,False,False,False
pdb_1BTA_A_barstar,89,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.0,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:abstained_alpha_mixed_ambiguity | confidence_gate:abstained | regime_router:kept_hierarchy_abstention,"alpha-rich evidence was not forced because beta pressure, pairing support, and mixed secondary-structure score remain too close to the alpha score; regime router kept abstention for compact_single_domain",False,False,False,weak_or_unknown,False,,alpha_beta_mixed,False,False,unknown,False,,compact_single_domain,False,False,ordered,True,recovered_from_alpha_mixed_ambiguity_guard,ordered,True,True,unknown,False,,unknown,False,False,1,True,False,,1,1,order_axis,1,False,False,False,False,False,False
pdb_1CLL_A_calmodulin,148,axis_safe_partial_fold_profile,orthogonal_fold_axis_projection,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,False,True,0.0,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_compact_domain_conflict,compact-single-domain regime conflicts with boundary/disorder class,False,False,False,weak_or_unknown,False,,weak_or_unknown,False,False,unknown,False,,multidomain_or_segmented,False,False,ordered,True,recovered_from_foldable_compact_axis_evidence,ordered,True,True,unknown,False,,unknown,False,False,1,True,False,,1,1,order_axis,1,False,False,False,False,False,False
