row_id,sequence_hash,sequence_length,length_band,segmentation_pressure,repeat_pressure,compact_domain_pressure,fragment_scope_pressure,multidomain_pressure,membrane_segmentation_pressure,disorder_segmentation_pressure,evidence_strength,architecture_axis_prediction,architecture_axis_confidence,architecture_axis_claim_allowed,architecture_axis_abstention_reason,architecture_axis_decision_reason,protein_regime,regime_confidence,composition_regime_contrast,linker_separator_pressure,compact_repeat_support,architecture_secondary_leakage_used,architecture_label_leakage_used,architecture_axis_signature_kind,source_axis_profile_signature_kind,profile_architecture_axis,adjudicated_truth_architecture_axis,architecture_axis_scorable,architecture_axis_match,architecture_axis_same_axis_conflict,architecture_axis_recovered_from_profile,global_fold_class_claim_allowed,axis_profile_claim_allowed,folding_problem_solved,folding_solution_claim_created,claim_allowed,drug_design_created,molecule_generated,protein_sequence_design_created
pdb_1TEN_A_tenascin_fn3,097fd915fdff69e3,90,small_70_139,0.416519,0.210913,0.387035,0.114178,0.325777,0.098332,0.397779,0.387035,unknown,0.0,False,architecture evidence is insufficient or mixed,architecture evidence is insufficient or mixed,compact_single_domain,0.65679,0.063889,0.75,0.29511,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1CSP_A_cold_shock_protein,27d80e68627641f5,67,short_fragment_under_70,0.31591,0.229964,0.408574,1.0,0.227225,0.132089,0.494968,1.0,fragment_scope,1.0,True,,short sequence scope is treated as fragment context,small_peptide_or_fragment,0.822222,0.055556,0.666667,0.267979,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,fragment_scope,fragment_scope,True,True,False,True,False,True,False,False,False,False,False,False
pdb_1SHG_A_src_sh3_domain,5d8a306662618fc3,62,short_fragment_under_70,0.320519,0.282637,0.565747,1.0,0.191957,0.285483,0.227362,1.0,fragment_scope,1.0,True,,short sequence scope is treated as fragment context,small_peptide_or_fragment,0.844444,0.044444,0.0,0.28399,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,fragment_scope,fragment_scope,True,True,False,True,False,True,False,False,False,False,False,False
pdb_1TIT_A_titin_i27,0e8997653564955e,98,small_70_139,0.386074,0.295082,0.477276,0.089114,0.263049,0.120407,0.304256,0.477276,compact_single_domain,0.525356,True,,"small-to-medium compact evidence has low segmentation, repeat, membrane, and disorder pressure",compact_single_domain,0.681642,0.062607,0.25,0.321282,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,True,True,False,False,False,True,False,False,False,False,False,False
pdb_2PTL_A_protein_l_domain,19b85ae2edd17e23,78,small_70_139,0.30082,0.286874,0.436334,0.189434,0.191261,0.189104,0.310861,0.436334,compact_single_domain,0.508726,True,,"small-to-medium compact evidence has low segmentation, repeat, membrane, and disorder pressure",compact_single_domain,0.667449,0.072222,0.333333,0.302983,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,True,True,False,False,False,True,False,False,False,False,False,False
pdb_1FNA_A_fibronectin_type_iii,a5a0108372cfcb92,91,small_70_139,0.452637,0.181275,0.388545,0.105789,0.341498,0.12967,0.451014,0.388545,unknown,0.0,False,architecture evidence is insufficient or mixed,architecture evidence is insufficient or mixed,compact_single_domain,0.65792,0.084064,0.75,0.246389,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1IGD_A_immunoglobulin_domain,e454874d8ff09eac,61,short_fragment_under_70,0.470253,0.340378,0.47231,1.0,0.313708,0.145081,0.205647,1.0,fragment_scope,1.0,True,,short sequence scope is treated as fragment context,small_peptide_or_fragment,0.848889,0.061555,0.0,0.32964,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,fragment_scope,fragment_scope,True,True,False,True,False,True,False,False,False,False,False,False
pdb_1BFG_A_basic_fgf,f285ff0729d44e60,146,medium_140_259,0.409344,0.213918,0.293775,0.0,0.294982,0.101029,0.516845,0.294982,unknown,0.0,False,disorder-like segmentation pressure is too high,disorder-like segmentation pressure is too high,intrinsically_disordered,0.745028,0.101852,0.666667,0.250111,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1GFL_A_green_fluorescent_protein,176237f25a87ae4d,238,medium_140_259,0.506525,0.257636,0.364493,0.079478,0.441363,0.061974,0.402523,0.441363,unknown,0.0,False,compact regime is present but length/segmentation evidence needs architecture-specific support,compact regime is present but length/segmentation evidence needs architecture-specific support,compact_single_domain,0.640874,0.093182,0.7,0.337902,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,multidomain_or_segmented,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1KSR_A_kunitz_serine_protease_inhibitor,9d8a11708b088ce3,100,small_70_139,0.35752,0.21952,0.277454,0.0,0.266986,0.0885,0.679276,0.277454,unknown,0.0,False,disorder-like segmentation pressure is too high,disorder-like segmentation pressure is too high,ambiguous_regime,0.746646,0.061508,1.0,0.267841,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1TIM_A_triosephosphate_isomerase,4866c0d272a9e6bd,247,medium_140_259,0.419409,0.313327,0.389633,0.086447,0.363125,0.071658,0.357142,0.389633,unknown,0.0,False,compact regime is present but length/segmentation evidence needs architecture-specific support,compact regime is present but length/segmentation evidence needs architecture-specific support,compact_single_domain,0.643755,0.043937,0.5,0.375857,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,multidomain_or_segmented,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1PGA_A_protein_g_b1,7e859d8217104770,56,short_fragment_under_70,0.315536,0.309393,0.574132,1.0,0.203806,0.158034,0.166794,1.0,fragment_scope,1.0,True,,short sequence scope is treated as fragment context,small_peptide_or_fragment,0.871111,0.061111,0.0,0.311734,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,fragment_scope,fragment_scope,True,True,False,True,False,True,False,False,False,False,False,False
pdb_4AKE_A_adenylate_kinase,c7fb9fc96e9e0aab,214,medium_140_259,0.39984,0.263478,0.371052,0.088013,0.332222,0.082709,0.41941,0.371052,unknown,0.0,False,compact regime is present but length/segmentation evidence needs architecture-specific support,compact regime is present but length/segmentation evidence needs architecture-specific support,compact_single_domain,0.647211,0.067385,0.666667,0.337033,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,multidomain_or_segmented,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1UBQ_A_ubiquitin,233b4b0b8c461609,76,small_70_139,0.362595,0.191268,0.370306,0.075492,0.284419,0.155264,0.441832,0.370306,unknown,0.0,False,architecture evidence is insufficient or mixed,architecture evidence is insufficient or mixed,intrinsically_disordered,0.708449,0.027778,0.666667,0.237223,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,False,False,False,False,False,True,False,False,False,False,False,False
pdb_2TRX_A_thioredoxin,6edb73f9120f52a6,108,small_70_139,0.310696,0.280919,0.512863,0.095144,0.206017,0.144852,0.319223,0.512863,compact_single_domain,0.561243,True,,"small-to-medium compact evidence has low segmentation, repeat, membrane, and disorder pressure",compact_single_domain,0.694252,0.047222,0.5,0.345851,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,True,True,False,False,False,True,False,False,False,False,False,False
pdb_3CHY_A_chey_response_regulator,53b53a21d59a664e,128,small_70_139,0.384785,0.400691,0.556,0.089217,0.265861,0.604014,0.198557,0.556,unknown,0.0,False,membrane segmentation can reflect helices rather than global domains,membrane segmentation can reflect helices rather than global domains,membrane_like,0.9,0.07037,0.2,0.437951,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,False,False,False,False,False,True,False,False,False,False,False,False
pdb_2CI2_I_chymotrypsin_inhibitor_2,82c0685d86e8f5d4,83,small_70_139,0.351911,0.291462,0.360491,0.037847,0.225288,0.142169,0.452586,0.360491,unknown,0.0,False,architecture evidence is insufficient or mixed,architecture evidence is insufficient or mixed,intrinsically_disordered,0.711007,0.133333,0.666667,0.332685,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,fragment_scope,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1FKB_A_fk506_binding_protein,de9f93373c7a22b9,107,small_70_139,0.34835,0.168283,0.311536,0.0,0.253212,0.082709,0.603565,0.311536,unknown,0.0,False,disorder-like segmentation pressure is too high,disorder-like segmentation pressure is too high,ambiguous_regime,0.730604,0.078254,1.0,0.23847,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,False,False,False,False,False,True,False,False,False,False,False,False
pdb_2RN2_A_ribonuclease_a,243b1449a9686574,155,medium_140_259,0.498528,0.234407,0.40891,0.080118,0.390762,0.152258,0.3761,0.40891,unknown,0.0,False,architecture evidence is insufficient or mixed,architecture evidence is insufficient or mixed,compact_single_domain,0.666088,0.092593,0.666667,0.317116,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1BTA_A_barstar,f0d632b01192d85f,89,small_70_139,0.437805,0.241659,0.480882,0.117976,0.346942,0.099439,0.357904,0.480882,unknown,0.0,False,architecture evidence is insufficient or mixed,architecture evidence is insufficient or mixed,compact_single_domain,0.691161,0.05,1.0,0.373456,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1CLL_A_calmodulin,787e521525941a7d,148,medium_140_259,0.39752,0.387561,0.463231,0.088198,0.286982,0.059796,0.264,0.463231,unknown,0.0,False,repeat/segmentation signals are mixed,repeat/segmentation signals are mixed,compact_single_domain,0.677888,0.053703,0.333333,0.40914,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,multidomain_or_segmented,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1B57_A_fructose_bisphosphate_aldolase,375b3dd156b6e415,358,large_260_419,0.448297,0.272181,0.36842,0.084136,0.490323,0.03296,0.351871,0.490323,unknown,0.0,False,compact regime is present but length/segmentation evidence needs architecture-specific support,compact regime is present but length/segmentation evidence needs architecture-specific support,compact_single_domain,0.626929,0.049056,0.6,0.35352,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,multidomain_or_segmented,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1AON_A_groel,daa34749c0ed3422,547,very_large_420_plus,0.500929,0.433887,0.316259,0.079926,0.656999,0.039208,0.327201,0.656999,unknown,0.0,False,repeat/segmentation signals are mixed,repeat/segmentation signals are mixed,multidomain_modular,0.746434,0.053175,0.391304,0.449312,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1IGT_B_igg2a_heavy_chain,67b428ce92d8f1eb,444,very_large_420_plus,0.484877,0.290498,0.3051,0.08121,0.594869,0.039866,0.357236,0.594869,multidomain_or_segmented,0.589315,True,,"large modular evidence has boundary pressure and is not better explained as repeat, membrane, or disorder segmentation",multidomain_modular,0.72397,0.098485,0.5,0.329496,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,multidomain_or_segmented,True,True,False,False,False,True,False,False,False,False,False,False
pdb_1GTR_A_glutaminyl_trna_synthetase,9cdd8cc70c4f1be5,553,very_large_420_plus,0.500239,0.323794,0.373375,0.079981,0.667606,0.026674,0.280303,0.667606,multidomain_or_segmented,0.644641,True,,"large modular evidence has boundary pressure and is not better explained as repeat, membrane, or disorder segmentation",multidomain_modular,0.742617,0.065476,0.391304,0.384075,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,multidomain_or_segmented,True,True,False,False,False,True,False,False,False,False,False,False
pdb_1E4M_M_myrosinase,6ddda142c99f49cc,501,very_large_420_plus,0.463503,0.320767,0.36407,0.08292,0.595428,0.035329,0.30295,0.595428,multidomain_or_segmented,0.587122,True,,"large modular evidence has boundary pressure and is not better explained as repeat, membrane, or disorder segmentation",multidomain_modular,0.725353,0.067211,0.380952,0.370876,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,multidomain_or_segmented,True,True,False,False,False,True,False,False,False,False,False,False
pdb_1F88_A_rhodopsin,20e8fc797c8f2615,348,large_260_419,0.555138,0.318067,0.460302,0.075589,0.573886,0.702943,0.21761,0.573886,unknown,0.0,False,membrane segmentation can reflect helices rather than global domains,membrane segmentation can reflect helices rather than global domains,membrane_like,0.9,0.093827,0.285714,0.386728,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,multidomain_or_segmented,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1GSA_A_glutathione_synthetase,2fd7df97dbc332c1,316,large_260_419,0.452551,0.293457,0.354575,0.083796,0.452974,0.046678,0.336712,0.452974,unknown,0.0,False,compact regime is present but length/segmentation evidence needs architecture-specific support,compact regime is present but length/segmentation evidence needs architecture-specific support,compact_single_domain,0.624272,0.059127,0.384615,0.338471,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,multidomain_or_segmented,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1TUP_A_p53_core_dna_complex,700cdde5298f373d,219,medium_140_259,0.468705,0.207736,0.282213,0.0,0.402357,0.067351,0.478919,0.402357,unknown,0.0,False,architecture evidence is insufficient or mixed,architecture evidence is insufficient or mixed,intrinsically_disordered,0.713057,0.097778,0.777778,0.267335,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,compact_single_domain,False,False,False,False,False,True,False,False,False,False,False,False
pdb_1LFG_A_lactoferrin,c7a5f5217c1206f7,691,very_large_420_plus,0.477693,0.350927,0.331392,0.081785,0.671003,0.029884,0.351137,0.671003,unknown,0.0,False,repeat/segmentation signals are mixed,repeat/segmentation signals are mixed,multidomain_modular,0.720816,0.073457,0.551724,0.396979,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,multidomain_or_segmented,False,False,False,False,False,True,False,False,False,False,False,False
disprot_P37840_alpha_synuclein,9a06387610edd099,140,medium_140_259,0.274333,0.342614,0.351413,0.0,0.174299,0.105356,0.504026,0.351413,unknown,0.0,False,disorder-like segmentation pressure is too high,disorder-like segmentation pressure is too high,intrinsically_disordered,0.7409,0.05,0.666667,0.355406,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,unknown,False,False,False,False,False,True,False,False,False,False,False,False
disprot_P10636_tau,9ad5ef9ba35def92,758,very_large_420_plus,0.419987,0.303752,0.145531,0.0,0.61331,0.015567,0.689358,0.61331,unknown,0.0,False,disorder-like segmentation pressure is too high,disorder-like segmentation pressure is too high,intrinsically_disordered,0.80725,0.071667,0.935484,0.247291,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,unknown,False,False,False,False,False,True,False,False,False,False,False,False
disprot_P04637_p53_full_length,e3ca60f18e3b6e98,393,large_260_419,0.47149,0.215729,0.206121,0.0,0.545689,0.037533,0.560888,0.545689,unknown,0.0,False,disorder-like segmentation pressure is too high,disorder-like segmentation pressure is too high,intrinsically_disordered,0.747422,0.088485,0.875,0.249976,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,unknown,False,False,False,False,False,True,False,False,False,False,False,False
disprot_P46527_cdkn1b_p27,844b7ba9d02615aa,198,medium_140_259,0.490984,0.145006,0.235922,0.0,0.420397,0.044698,0.601355,0.420397,unknown,0.0,False,disorder-like segmentation pressure is too high,disorder-like segmentation pressure is too high,intrinsically_disordered,0.76659,0.096667,1.0,0.196946,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,unknown,False,False,False,False,False,True,False,False,False,False,False,False
disprot_P38634_sic1,d937e4feb8cd05e8,284,large_260_419,0.529728,0.175294,0.211345,0.0,0.518945,0.031161,0.56824,0.518945,unknown,0.0,False,disorder-like segmentation pressure is too high,disorder-like segmentation pressure is too high,intrinsically_disordered,0.753267,0.074306,1.0,0.236233,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,unknown,False,False,False,False,False,True,False,False,False,False,False,False
disprot_O60356_nupr1,af386bb2b7dab119,82,small_70_139,0.402921,0.059304,0.222572,0.039266,0.294488,0.107926,0.81045,0.294488,unknown,0.0,False,disorder-like segmentation pressure is too high,disorder-like segmentation pressure is too high,intrinsically_disordered,0.87635,0.094445,1.0,0.050247,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,unknown,False,False,False,False,False,True,False,False,False,False,False,False
disprot_P10451_osteopontin,7b95e3678367f3bf,314,large_260_419,0.57753,0.264834,0.334159,0.073798,0.579561,0.084553,0.378318,0.579561,unknown,0.0,False,architecture evidence is insufficient or mixed,architecture evidence is insufficient or mixed,intrinsically_disordered,0.668657,0.080876,0.846154,0.33891,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,unknown,False,False,False,False,False,True,False,False,False,False,False,False
disprot_Q13541_eif4ebp1,e3117ed0ded82707,118,small_70_139,0.380474,0.201509,0.22704,0.0,0.28332,0.075001,0.729224,0.28332,unknown,0.0,False,disorder-like segmentation pressure is too high,disorder-like segmentation pressure is too high,intrinsically_disordered,0.826098,0.066667,1.0,0.174626,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,unknown,False,False,False,False,False,True,False,False,False,False,False,False
disprot_P16949_stathmin,9cac7b173570cf94,149,medium_140_259,0.450468,0.242223,0.404614,0.083963,0.379686,0.059395,0.404792,0.404614,unknown,0.0,False,architecture evidence is insufficient or mixed,architecture evidence is insufficient or mixed,intrinsically_disordered,0.69834,0.061111,0.833333,0.322884,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,unknown,False,False,False,False,False,True,False,False,False,False,False,False
disprot_P17096_hmga1,247d2ae354a8e0ec,107,small_70_139,0.235354,0.236931,0.075063,0.0,0.115772,0.082709,0.86184,0.236931,unknown,0.0,False,disorder-like segmentation pressure is too high,disorder-like segmentation pressure is too high,intrinsically_disordered,0.9,0.089206,1.0,0.160845,False,False,sequence_only_architecture_axis_evidence_packet,axis_safe_partial_fold_profile,unknown,unknown,False,False,False,False,False,True,False,False,False,False,False,False
