row_id,source_id,source_kind,sequence_sha256,sequence_hash_short,length,external_family_id,external_family_name,external_family_group,holdout_split,truth_scope,source_predicted_fold_class,source_forced_prediction,source_abstained,source_confidence,protein_regime,pre_profile_order_axis,post_profile_order_axis,order_axis_claim_allowed,order_axis_confidence,order_axis_abstention_reason,order_axis_decision_reason,disorder_pressure,disorder_run_evidence,breaker_density,local_disorder_pressure,folded_beta_mimic_pressure,folded_mixed_mimic_pressure,compact_closure_pressure,beta_pairing_support,long_range_closure_evidence,contact_prior_density,pre_architecture_axis_prediction,post_architecture_axis_prediction,architecture_axis_confidence,architecture_axis_claim_allowed,architecture_axis_abstention_reason,repeat_pressure,compact_domain_pressure,repeat_recurrence_support,repeat_unit_consistency,repeat_vs_compact_margin,hydrophobic_periodicity_only_risk,profile_secondary_structure_axis,profile_order_axis,profile_environment_axis,architecture_axis_prediction,truth_secondary_structure_axis,truth_architecture_axis,truth_order_axis,truth_environment_axis,pre_axis_profile_same_axis_conflict,pre_architecture_axis_same_axis_conflict,post_axis_profile_same_axis_conflict,post_axis_profile_conflict_axes,post_architecture_axis_same_axis_conflict,post_combined_same_axis_conflict,post_conflict_axes,safe_axis_claim_count,unsafe_axis_claim_count,safe_axis_recovered_axes,safe_axis_recovered_count,order_axis_folded_mimic_quarantined,repeat_compact_ambiguity_quarantined,unsafe_class_recovery,guard_override,any_axis_claimed,global_fold_class_claim_allowed,axis_profile_claim_allowed,folding_problem_solved,claim_allowed,prediction_source_layer,failure_cohort
holdout_011_alpha_rich_soluble_03,external_holdout:holdout_alpha_family_03:011,locked_external_family_proxy,6d79f8c85e19e3608eaba6832cc8459501f4d7772ea0b76bbc3ee34b5301e4bf,6d79f8c85e19e360,100,holdout_alpha_family_03,helical_enzyme_domain_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.460333,0.05,0.14,0.410238,0.41792,0.333423,0.442403,0.374394,0.483961,0.583333,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,0.574303,0.406086,0.278783,0.869791,0.168217,0.485719,weak_or_unknown,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,False,False,,False,False,,1,0,order_axis,1,False,False,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_012_alpha_rich_soluble_03,external_holdout:holdout_alpha_family_03:012,locked_external_family_proxy,fb3cf092c2e1e0c4fd6cc063924803c4360e42518d048b8be2e2d38295a738d2,fb3cf092c2e1e0c4,116,holdout_alpha_family_03,helical_enzyme_domain_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.367555,0.034483,0.094828,0.330529,0.456842,0.360969,0.448263,0.384844,0.485478,0.755556,repeat_like,unknown,0.0,False,repeat_compact_single_domain_ambiguity_quarantine,0.62614,0.434042,0.271042,0.776191,0.192098,0.498235,alpha_rich,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,True,False,,False,False,,2,0,secondary_structure_axis;order_axis,2,False,True,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_013_alpha_rich_soluble_03,external_holdout:holdout_alpha_family_03:013,locked_external_family_proxy,d200a7a3822b95fe0f7331281577d13840f22910a5bb40708f558ad28a74fc6f,d200a7a3822b95fe,132,holdout_alpha_family_03,helical_enzyme_domain_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.42071,0.05303,0.098485,0.379499,0.43482,0.34029,0.423254,0.353572,0.474367,0.763636,repeat_like,unknown,0.0,False,repeat_compact_single_domain_ambiguity_quarantine,0.64006,0.397561,0.233409,0.785714,0.242499,0.439161,weak_or_unknown,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,True,False,,False,False,,1,0,order_axis,1,False,True,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_014_alpha_rich_soluble_03,external_holdout:holdout_alpha_family_03:014,locked_external_family_proxy,d34dc2a6c9cb1172bdb3dff821c0715b2971075e8f56c868df78da49b7497b79,d34dc2a6c9cb1172,148,holdout_alpha_family_03,helical_enzyme_domain_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.469638,0.047297,0.114865,0.378057,0.439271,0.338377,0.430545,0.36375,0.478933,0.769231,repeat_like,unknown,0.0,False,repeat_compact_single_domain_ambiguity_quarantine,0.652107,0.40598,0.270589,0.826389,0.246127,0.43451,weak_or_unknown,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,True,False,,False,False,,1,0,order_axis,1,False,True,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_015_alpha_rich_soluble_03,external_holdout:holdout_alpha_family_03:015,locked_external_family_proxy,6242d6842565854fc5ca4f46bd4d35099bf8b3d55d5e786918b0542514c33d0d,6242d6842565854f,166,holdout_alpha_family_03,helical_enzyme_domain_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.402229,0.042169,0.060241,0.314356,0.468513,0.366852,0.458267,0.387507,0.515543,0.813187,repeat_like,unknown,0.0,False,repeat_compact_single_domain_ambiguity_quarantine,0.706987,0.409135,0.229512,0.811158,0.297852,0.446611,weak_or_unknown,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,True,False,,False,False,,1,0,order_axis,1,False,True,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_016_alpha_rich_soluble_04,external_holdout:holdout_alpha_family_04:016,locked_external_family_proxy,569375f963ca9d24359e414fa0e56e371a537234c8cd52cc83b56fa2e8608ebe,569375f963ca9d24,102,holdout_alpha_family_04,alpha_solenoid_fragment_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,intrinsically_disordered,mixed_or_uncertain,mixed_or_uncertain,False,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.520223,0.068627,0.137255,0.450062,0.374717,0.291244,0.400773,0.327723,0.429105,0.555556,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,0.555568,0.359717,0.273624,0.888393,0.195851,0.446606,weak_or_unknown,mixed_or_uncertain,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,False,False,,False,False,,0,0,,0,False,False,False,False,False,False,True,False,False,external_safe_axis_repair_stack,disorder_folded_domain_mimic
holdout_017_alpha_rich_soluble_04,external_holdout:holdout_alpha_family_04:017,locked_external_family_proxy,e2e011bccd34057805e59e7cfab6d4e010a83c4e3dc28533eb9b67347abed649,e2e011bccd340578,118,holdout_alpha_family_04,alpha_solenoid_fragment_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.371606,0.042373,0.084746,0.321439,0.458129,0.361013,0.444551,0.380373,0.482219,0.777778,repeat_like,unknown,0.0,False,repeat_compact_single_domain_ambiguity_quarantine,0.628492,0.432659,0.315444,0.953464,0.195833,0.453653,alpha_rich,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,True,False,,False,False,,2,0,secondary_structure_axis;order_axis,2,False,True,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_018_alpha_rich_soluble_04,external_holdout:holdout_alpha_family_04:018,locked_external_family_proxy,fb8adb47c9269319a9c7778cd31e4c5003f28a56b03dc6d2c94d069f8c51ff86,fb8adb47c9269319,134,holdout_alpha_family_04,alpha_solenoid_fragment_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.42899,0.052239,0.097015,0.404519,0.436875,0.339028,0.407586,0.341286,0.457776,0.80303,repeat_like,unknown,0.0,False,repeat_compact_single_domain_ambiguity_quarantine,0.642925,0.366541,0.279926,0.940476,0.276384,0.413135,weak_or_unknown,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,True,False,,False,False,,1,0,order_axis,1,False,True,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_019_alpha_rich_soluble_04,external_holdout:holdout_alpha_family_04:019,locked_external_family_proxy,eb3500c6eb15bce13e85ee4288cb9b487814fda892ee866f4ad7fae86c33d70e,eb3500c6eb15bce1,150,holdout_alpha_family_04,alpha_solenoid_fragment_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.450026,0.04,0.126667,0.38423,0.439095,0.341537,0.426065,0.362443,0.468655,0.769231,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,0.65197,0.392464,0.268076,0.900793,0.259506,0.429129,weak_or_unknown,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,False,False,,False,False,,1,0,order_axis,1,False,False,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_020_alpha_rich_soluble_04,external_holdout:holdout_alpha_family_04:020,locked_external_family_proxy,f79cf74bca5c339e4e5283c96462a4516353566448c9dfef1ec3d493cd097c9b,f79cf74bca5c339e,168,holdout_alpha_family_04,alpha_solenoid_fragment_proxy,alpha_rich_soluble,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,ordered,ordered,True,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.38829,0.041667,0.065476,0.306763,0.473065,0.374537,0.463484,0.397838,0.504772,0.802198,repeat_like,unknown,0.0,False,repeat_compact_single_domain_ambiguity_quarantine,0.764971,0.440614,0.391612,0.854227,0.324357,0.43533,weak_or_unknown,ordered,unknown,unknown,alpha_rich,compact_single_domain,ordered,soluble_like,False,True,False,,False,False,,1,0,order_axis,1,False,True,False,False,True,False,True,False,False,external_safe_axis_repair_stack,safe_axis_claimed
holdout_021_beta_rich_01,external_holdout:holdout_beta_family_01:021,locked_external_family_proxy,194dd9118683d15a65b7376bf64cec66504900e4f8a6ed430c27087d799a4cc7,194dd9118683d15a,82,holdout_beta_family_01,immunoglobulin_like_proxy,beta_rich,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,mixed_or_uncertain,mixed_or_uncertain,False,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.449272,0.04878,0.146341,0.41396,0.511433,0.173336,0.368442,0.376961,0.45895,0.666667,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,0.513578,0.365249,0.274114,0.801587,0.148329,0.501922,weak_or_unknown,mixed_or_uncertain,unknown,unknown,beta_rich,compact_single_domain,ordered,soluble_like,False,False,False,,False,False,,0,0,,0,False,False,False,False,False,False,True,False,False,external_safe_axis_repair_stack,beta_rich_low_complexity_confusion
holdout_022_beta_rich_01,external_holdout:holdout_beta_family_01:022,locked_external_family_proxy,ac7b6ec8598d17f63a038ce7827580f302ff8869cd56e4d59901b2ada987622a,ac7b6ec8598d17f6,94,holdout_beta_family_01,immunoglobulin_like_proxy,beta_rich,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,intrinsically_disordered,mixed_or_uncertain,mixed_or_uncertain,False,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.513875,0.06383,0.148936,0.475917,0.467007,0.152383,0.33631,0.339115,0.413294,0.607143,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,0.478539,0.329647,0.252967,0.830898,0.148892,0.416928,weak_or_unknown,mixed_or_uncertain,unknown,unknown,beta_rich,compact_single_domain,ordered,soluble_like,False,False,False,,False,False,,0,0,,0,False,False,False,False,False,False,True,False,False,external_safe_axis_repair_stack,beta_rich_low_complexity_confusion
holdout_023_beta_rich_01,external_holdout:holdout_beta_family_01:023,locked_external_family_proxy,80944167656577b79dff1c2837bd92acb0241970a13d2c0cb327ff1f2393e106,80944167656577b7,108,holdout_beta_family_01,immunoglobulin_like_proxy,beta_rich,external_fold_family_100,global_chain,disordered_flexible,True,False,0.561187,intrinsically_disordered,disordered_flexible,mixed_or_uncertain,False,0.0,external_order_axis_folded_mimic_quarantine,disordered_flexible was not projected to order_axis because folded-domain mimic or weak disorder-run evidence remains,0.585584,0.055556,0.185185,0.519544,0.462634,0.148751,0.345798,0.34795,0.441456,0.527778,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,0.474472,0.319147,0.226935,0.888393,0.155325,0.319294,weak_or_unknown,mixed_or_uncertain,unknown,unknown,beta_rich,compact_single_domain,ordered,soluble_like,True,False,False,,False,False,,0,0,,0,True,False,False,False,False,False,True,False,False,external_safe_axis_repair_stack,beta_rich_low_complexity_confusion
holdout_024_beta_rich_01,external_holdout:holdout_beta_family_01:024,locked_external_family_proxy,634026905f7f43bd1e0140bb15e96c865f072de7a9ecdb347fbbaa57a3a56c56,634026905f7f43bd,122,holdout_beta_family_01,immunoglobulin_like_proxy,beta_rich,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,mixed_or_uncertain,mixed_or_uncertain,False,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.466606,0.04918,0.122951,0.435499,0.530111,0.230869,0.368667,0.37761,0.457621,0.781818,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,0.613166,0.369186,0.289332,0.761905,0.24398,0.487055,weak_or_unknown,mixed_or_uncertain,unknown,unknown,beta_rich,compact_single_domain,ordered,soluble_like,False,False,False,,False,False,,0,0,,0,False,False,False,False,False,False,True,False,False,external_safe_axis_repair_stack,beta_rich_low_complexity_confusion
holdout_025_beta_rich_01,external_holdout:holdout_beta_family_01:025,locked_external_family_proxy,b81ea33db2d1143e95c2df7a2c31132448bb59b2d4a5cbc70905796da7dc96e2,b81ea33db2d1143e,136,holdout_beta_family_01,immunoglobulin_like_proxy,beta_rich,external_fold_family_100,global_chain,disordered_flexible,True,False,0.623839,intrinsically_disordered,disordered_flexible,mixed_or_uncertain,False,0.0,external_order_axis_folded_mimic_quarantine,disordered_flexible was not projected to order_axis because folded-domain mimic or weak disorder-run evidence remains,0.593489,0.051471,0.198529,0.541525,0.436991,0.141876,0.297487,0.302051,0.375129,0.606061,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,0.54136,0.260771,0.195857,0.809524,0.280589,0.362426,weak_or_unknown,mixed_or_uncertain,unknown,unknown,beta_rich,compact_single_domain,ordered,soluble_like,True,False,False,,False,False,,0,0,,0,True,False,False,False,False,False,True,False,False,external_safe_axis_repair_stack,beta_rich_low_complexity_confusion
holdout_026_beta_rich_02,external_holdout:holdout_beta_family_02:026,locked_external_family_proxy,fd6772fdfdce63f701a6732d72ec033706363b5453ea023248877d55f2f3ca69,fd6772fdfdce63f7,83,holdout_beta_family_02,jellyroll_like_proxy,beta_rich,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,repeat_like,mixed_or_uncertain,mixed_or_uncertain,False,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.478386,0.048193,0.144578,0.431926,0.498932,0.163897,0.354183,0.360892,0.446315,0.666667,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,0.506068,0.341988,0.289361,0.867725,0.16408,0.501239,weak_or_unknown,mixed_or_uncertain,unknown,unknown,beta_rich,compact_single_domain,ordered,soluble_like,False,False,False,,False,False,,0,0,,0,False,False,False,False,False,False,True,False,False,external_safe_axis_repair_stack,beta_rich_low_complexity_confusion
holdout_027_beta_rich_02,external_holdout:holdout_beta_family_02:027,locked_external_family_proxy,ebcd28472d8a01b076daa54b428f9da8f0cebf6ed2e86ae7c0ca876abf5c85aa,ebcd28472d8a01b0,95,holdout_beta_family_02,jellyroll_like_proxy,beta_rich,external_fold_family_100,global_chain,insufficient_topology_evidence,False,True,0.0,intrinsically_disordered,mixed_or_uncertain,mixed_or_uncertain,False,0.0,source did not force a fold class for order-axis projection,source did not force a fold class for order-axis projection,0.531581,0.063158,0.147368,0.478318,0.481843,0.159692,0.330708,0.336747,0.416773,0.678571,unknown,unknown,0.0,False,repeat/segmentation signals are mixed,0.489319,0.320857,0.273437,0.898098,0.168462,0.428738,weak_or_unknown,mixed_or_uncertain,unknown,unknown,beta_rich,compact_single_domain,ordered,soluble_like,False,False,False,,False,False,,0,0,,0,False,False,False,False,False,False,True,False,False,external_safe_axis_repair_stack,beta_rich_low_complexity_confusion
