protein_id,raw_motif_predicted_fold_class,predicted_fold_class,structure_fold_class,disorder_gate_score,compactness_gate_score,segmentation_gate_score,secondary_structure_gate_score,gate_path,gate_decision_reason,forced_prediction,abstained
pdb_1MBN_A_myoglobin,alpha_beta_mixed,alpha_rich,alpha_rich,0.107627,0.534282,0.39022,0.46884,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure",True,False
pdb_1GFL_A_green_fluorescent_protein,multidomain_boundary,insufficient_topology_evidence,multidomain_boundary,0.209289,0.447661,0.376191,0.333254,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,False,True
pdb_1KSR_A_kunitz_serine_protease_inhibitor,disordered_flexible,disordered_flexible,beta_rich,0.406493,0.320571,0.176221,0.254697,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak,True,False
pdb_1TIM_A_triosephosphate_isomerase,multidomain_boundary,insufficient_topology_evidence,alpha_beta_mixed,0.20394,0.459524,0.359742,0.364123,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,False,True
pdb_1PGA_A_protein_g_b1,beta_rich,insufficient_topology_evidence,alpha_beta_mixed,0.046135,0.588966,0.403165,0.477347,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin",False,True
pdb_4AKE_A_adenylate_kinase,beta_rich,insufficient_topology_evidence,alpha_beta_mixed,0.219166,0.432015,0.307964,0.348209,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,False,True
pdb_1UBQ_A_ubiquitin,beta_rich,insufficient_topology_evidence,beta_rich,0.246067,0.412171,0.265319,0.309151,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained,compactness and closure are too weak to force a fold class,False,True
pdb_2TRX_A_thioredoxin,alpha_beta_mixed,insufficient_topology_evidence,alpha_beta_mixed,0.136842,0.523924,0.286201,0.418351,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin",False,True
pdb_3CHY_A_chey_response_regulator,alpha_beta_mixed,alpha_rich,alpha_beta_mixed,0.064359,0.596517,0.420196,0.483875,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure",True,False
pdb_2CI2_I_chymotrypsin_inhibitor_2,beta_rich,insufficient_topology_evidence,beta_rich,0.253492,0.402102,0.218449,0.343984,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained,compactness and closure are too weak to force a fold class,False,True
pdb_1FKB_A_fk506_binding_protein,disordered_flexible,disordered_flexible,beta_rich,0.351926,0.349984,0.151957,0.267452,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak,True,False
pdb_2RN2_A_ribonuclease_a,multidomain_boundary,insufficient_topology_evidence,alpha_beta_mixed,0.181025,0.472184,0.361553,0.388576,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,False,True
pdb_1BTA_A_barstar,alpha_beta_mixed,alpha_rich,alpha_beta_mixed,0.101347,0.523478,0.302568,0.440642,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure",True,False
pdb_1CLL_A_calmodulin,alpha_beta_mixed,multidomain_boundary,multidomain_boundary,0.0948,0.513451,0.386828,0.431811,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength,domain-boundary evidence is treated as folded multidomain only because compact core and long-range closure are also present,True,False
pdb_1B57_A_fructose_bisphosphate_aldolase,alpha_beta_mixed,insufficient_topology_evidence,alpha_rich,0.166437,0.47457,0.364301,0.367075,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,False,True
pdb_1AON_A_groel,multidomain_boundary,insufficient_topology_evidence,alpha_beta_mixed,0.176204,0.469486,0.448553,0.401708,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,False,True
pdb_1IGT_B_igg2a_heavy_chain,multidomain_boundary,insufficient_topology_evidence,beta_rich,0.200207,0.443313,0.389818,0.334754,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,False,True
pdb_1GTR_A_glutaminyl_trna_synthetase,multidomain_boundary,multidomain_boundary,alpha_beta_mixed,0.129594,0.512879,0.454395,0.393953,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength,domain-boundary evidence is treated as folded multidomain only because compact core and long-range closure are also present,True,False
pdb_1E4M_M_myrosinase,multidomain_boundary,insufficient_topology_evidence,alpha_rich,0.158017,0.49294,0.407638,0.360934,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin",False,True
pdb_1F88_A_rhodopsin,multidomain_boundary,multidomain_boundary,alpha_rich,0.093255,0.59158,0.525707,0.479012,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength,domain-boundary evidence is treated as folded multidomain only because compact core and long-range closure are also present,True,False
pdb_1GSA_A_glutathione_synthetase,multidomain_boundary,insufficient_topology_evidence,alpha_beta_mixed,0.192258,0.456354,0.397099,0.359167,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,False,True
pdb_1TUP_A_p53_core_dna_complex,multidomain_boundary,insufficient_topology_evidence,beta_rich,0.280794,0.355719,0.30197,0.273332,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained,compactness and closure are too weak to force a fold class,False,True
pdb_1LFG_A_lactoferrin,multidomain_boundary,insufficient_topology_evidence,alpha_beta_mixed,0.177907,0.468962,0.391759,0.366136,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,False,True
disprot_P37840_alpha_synuclein,beta_rich,disordered_flexible,disordered_flexible,0.300926,0.384305,0.195844,0.309571,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak,True,False
disprot_P10636_tau,multidomain_boundary,disordered_flexible,disordered_flexible,0.431141,0.287114,0.218988,0.17692,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak,True,False
disprot_P04637_p53_full_length,multidomain_boundary,disordered_flexible,disordered_flexible,0.333815,0.334764,0.28169,0.275735,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak,True,False
disprot_P46527_cdkn1b_p27,multidomain_boundary,disordered_flexible,disordered_flexible,0.347859,0.319313,0.267796,0.244126,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak,True,False
disprot_P38634_sic1,multidomain_boundary,disordered_flexible,disordered_flexible,0.319481,0.330085,0.316506,0.217464,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak,True,False
disprot_O60356_nupr1,disordered_flexible,disordered_flexible,disordered_flexible,0.511288,0.286671,0.156084,0.216873,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak,True,False
disprot_P10451_osteopontin,multidomain_boundary,insufficient_topology_evidence,disordered_flexible,0.134488,0.464583,0.428707,0.356958,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin,False,True
disprot_Q13541_eif4ebp1,disordered_flexible,disordered_flexible,disordered_flexible,0.475031,0.280051,0.165193,0.174856,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak,True,False
disprot_P16949_stathmin,alpha_rich,alpha_rich,disordered_flexible,0.147344,0.478188,0.357621,0.430177,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:forced_low_claim_strength,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention,True,False
disprot_P17096_hmga1,disordered_flexible,disordered_flexible,disordered_flexible,0.669934,0.099075,0.0,0.011889,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak,True,False
