row_id,protein_regime,length_band,architecture_axis_prediction,architecture_axis_abstention_reason,evidence_strength,segmentation_pressure,repeat_pressure,compact_domain_pressure,fragment_scope_pressure,multidomain_pressure,membrane_segmentation_pressure,disorder_segmentation_pressure,adjudicated_truth_architecture_axis
pdb_1B57_A_fructose_bisphosphate_aldolase,compact_single_domain,large_260_419,unknown,compact regime is present but length/segmentation evidence needs architecture-specific support,0.490323,0.448297,0.272181,0.36842,0.084136,0.490323,0.03296,0.351871,multidomain_or_segmented
pdb_1AON_A_groel,multidomain_modular,very_large_420_plus,unknown,repeat/segmentation signals are mixed,0.656999,0.500929,0.433887,0.316259,0.079926,0.656999,0.039208,0.327201,compact_single_domain
pdb_1F88_A_rhodopsin,membrane_like,large_260_419,unknown,membrane segmentation can reflect helices rather than global domains,0.573886,0.555138,0.318067,0.460302,0.075589,0.573886,0.702943,0.21761,multidomain_or_segmented
pdb_1GSA_A_glutathione_synthetase,compact_single_domain,large_260_419,unknown,compact regime is present but length/segmentation evidence needs architecture-specific support,0.452974,0.452551,0.293457,0.354575,0.083796,0.452974,0.046678,0.336712,multidomain_or_segmented
pdb_1TUP_A_p53_core_dna_complex,intrinsically_disordered,medium_140_259,unknown,architecture evidence is insufficient or mixed,0.402357,0.468705,0.207736,0.282213,0.0,0.402357,0.067351,0.478919,compact_single_domain
pdb_1LFG_A_lactoferrin,multidomain_modular,very_large_420_plus,unknown,repeat/segmentation signals are mixed,0.671003,0.477693,0.350927,0.331392,0.081785,0.671003,0.029884,0.351137,multidomain_or_segmented
disprot_P37840_alpha_synuclein,intrinsically_disordered,medium_140_259,unknown,disorder-like segmentation pressure is too high,0.351413,0.274333,0.342614,0.351413,0.0,0.174299,0.105356,0.504026,unknown
disprot_P10636_tau,intrinsically_disordered,very_large_420_plus,unknown,disorder-like segmentation pressure is too high,0.61331,0.419987,0.303752,0.145531,0.0,0.61331,0.015567,0.689358,unknown
disprot_P04637_p53_full_length,intrinsically_disordered,large_260_419,unknown,disorder-like segmentation pressure is too high,0.545689,0.47149,0.215729,0.206121,0.0,0.545689,0.037533,0.560888,unknown
disprot_P46527_cdkn1b_p27,intrinsically_disordered,medium_140_259,unknown,disorder-like segmentation pressure is too high,0.420397,0.490984,0.145006,0.235922,0.0,0.420397,0.044698,0.601355,unknown
disprot_P38634_sic1,intrinsically_disordered,large_260_419,unknown,disorder-like segmentation pressure is too high,0.518945,0.529728,0.175294,0.211345,0.0,0.518945,0.031161,0.56824,unknown
disprot_O60356_nupr1,intrinsically_disordered,small_70_139,unknown,disorder-like segmentation pressure is too high,0.294488,0.402921,0.059304,0.222572,0.039266,0.294488,0.107926,0.81045,unknown
disprot_P10451_osteopontin,intrinsically_disordered,large_260_419,unknown,architecture evidence is insufficient or mixed,0.579561,0.57753,0.264834,0.334159,0.073798,0.579561,0.084553,0.378318,unknown
disprot_Q13541_eif4ebp1,intrinsically_disordered,small_70_139,unknown,disorder-like segmentation pressure is too high,0.28332,0.380474,0.201509,0.22704,0.0,0.28332,0.075001,0.729224,unknown
disprot_P16949_stathmin,intrinsically_disordered,medium_140_259,unknown,architecture evidence is insufficient or mixed,0.404614,0.450468,0.242223,0.404614,0.083963,0.379686,0.059395,0.404792,unknown
disprot_P17096_hmga1,intrinsically_disordered,small_70_139,unknown,disorder-like segmentation pressure is too high,0.236931,0.235354,0.236931,0.075063,0.0,0.115772,0.082709,0.86184,unknown
